timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
228165.267238,80.0,0.9946,0.63047,0.66250,0.59141,0.62639,0.57656,0.57083,0.57812,0.51806,0.58281,0.48056,0.61484,0.51528,0.60625,0.46111,0.59844,0.42500,0.59141,0.39444,0.63750,0.50694,0.63516,0.44306,0.62813,0.40139,0.61797,0.36944,0.65781,0.50972,0.65938,0.45139,0.65391,0.41111,0.64609,0.37917,0.67656,0.52083,0.68437,0.47083,0.68281,0.43611,0.67812,0.40556,0.63200,0.66362,0.63047,0.66250,104.29,0.9510,live,0.0523,0.0092,6.01,650.47
228165.337055,80.0,0.0802,0.62422,0.67778,0.58750,0.63889,0.57422,0.57778,0.57656,0.52500,0.58047,0.48750,0.61250,0.52500,0.60234,0.47083,0.59375,0.43611,0.58516,0.40556,0.63438,0.51528,0.63125,0.45278,0.62344,0.41111,0.61250,0.37778,0.65469,0.51806,0.65625,0.45833,0.65000,0.41806,0.64141,0.38472,0.67422,0.53194,0.68125,0.48056,0.67969,0.44583,0.67344,0.41528,0.63045,0.66645,0.62422,0.67778,107.72,0.9490,live,0.0445,0.0088,5.71,649.97
228165.403038,80.0,0.1695,0.60781,0.73194,0.57109,0.70278,0.55000,0.63611,0.54453,0.57917,0.54844,0.53611,0.58828,0.55556,0.57812,0.49722,0.56875,0.46389,0.55781,0.43750,0.61406,0.54583,0.61094,0.48056,0.60313,0.44028,0.59141,0.40833,0.63750,0.55556,0.63984,0.49167,0.63438,0.45417,0.62578,0.42222,0.65938,0.57917,0.66641,0.52500,0.66563,0.49028,0.66016,0.45972,0.62592,0.67955,0.60781,0.73194,121.13,0.9824,live,0.0445,0.0230,15.14,659.19
228165.468050,80.0,0.2542,0.61172,0.78333,0.57656,0.78333,0.54609,0.75417,0.52344,0.73333,0.50781,0.70972,0.57031,0.65972,0.56094,0.59583,0.55625,0.61389,0.55312,0.65000,0.59766,0.65694,0.59062,0.58194,0.58828,0.60278,0.58750,0.64583,0.62500,0.67222,0.62500,0.60139,0.62344,0.61111,0.61953,0.63889,0.65156,0.70139,0.66719,0.66389,0.66875,0.65972,0.66328,0.67083,0.62308,0.70030,0.61172,0.78333,95.64,0.9423,live,0.0445,0.0457,29.67,648.95
228165.536414,80.0,0.3466,0.61250,0.85000,0.57578,0.81944,0.55000,0.77500,0.53438,0.74306,0.51719,0.71389,0.58281,0.69444,0.56953,0.63611,0.55312,0.62639,0.53750,0.63333,0.60938,0.69306,0.61094,0.62917,0.60078,0.60694,0.58906,0.60972,0.63438,0.71250,0.64609,0.65139,0.64453,0.62778,0.63828,0.62083,0.65625,0.74722,0.67422,0.70694,0.68125,0.68472,0.68203,0.67222,0.62096,0.73024,0.61250,0.85000,106.38,0.9908,live,0.0505,0.0782,50.64,647.67
228165.603113,80.0,0.4482,0.61953,0.81667,0.58203,0.75556,0.56016,0.69167,0.55156,0.64167,0.54219,0.60000,0.59453,0.61389,0.58359,0.56389,0.57422,0.53333,0.56328,0.50556,0.62187,0.60972,0.62109,0.55000,0.61484,0.51250,0.60625,0.47917,0.64609,0.62222,0.65312,0.57083,0.65391,0.53333,0.64922,0.50000,0.66641,0.65694,0.67969,0.61667,0.68516,0.58750,0.68672,0.55972,0.62068,0.74753,0.61953,0.81667,131.32,0.9838,live,0.0584,0.0942,62.60,664.51
228165.669158,80.0,0.5353,0.62344,0.75972,0.58594,0.69306,0.56406,0.62361,0.55703,0.56806,0.55078,0.52083,0.59766,0.54861,0.58750,0.49583,0.57656,0.46250,0.56563,0.43194,0.62266,0.54028,0.62031,0.47778,0.61406,0.43750,0.60469,0.40139,0.64531,0.55000,0.65000,0.49167,0.64766,0.45139,0.64062,0.41250,0.66563,0.57917,0.67812,0.53333,0.68047,0.50000,0.67891,0.46528,0.62123,0.74997,0.62344,0.75972,136.01,0.9753,live,0.0648,0.0940,64.15,682.69
228165.736061,80.0,0.6118,0.62578,0.70417,0.58516,0.65833,0.56250,0.59028,0.55703,0.53194,0.55078,0.48750,0.59609,0.51111,0.58594,0.45694,0.57578,0.42500,0.56484,0.39722,0.62109,0.50278,0.61953,0.43750,0.61094,0.39861,0.60078,0.36389,0.64375,0.51111,0.64844,0.45000,0.64297,0.41111,0.63438,0.37361,0.66406,0.53611,0.67344,0.48750,0.67500,0.45417,0.67188,0.42083,0.62214,0.74081,0.62578,0.70417,127.15,0.9767,live,0.0698,0.0925,64.04,692.32
228165.804278,80.0,0.7038,0.62500,0.68889,0.58516,0.64861,0.56406,0.58194,0.55859,0.52500,0.55234,0.48056,0.59688,0.50694,0.58672,0.45139,0.57656,0.41806,0.56641,0.38750,0.62109,0.49722,0.61797,0.43056,0.61016,0.39028,0.59922,0.35556,0.64219,0.50556,0.64531,0.44167,0.63984,0.40278,0.63125,0.36528,0.66250,0.52639,0.67031,0.47639,0.67109,0.44167,0.66797,0.40972,0.62271,0.73042,0.62500,0.68889,121.39,0.9638,live,0.0698,0.0918,63.95,696.64
228165.869197,80.0,0.7903,0.62422,0.68611,0.58594,0.64306,0.56563,0.57917,0.56094,0.52222,0.55781,0.47778,0.59922,0.50694,0.58984,0.45000,0.58125,0.41667,0.57188,0.38611,0.62344,0.49861,0.62187,0.43194,0.61484,0.39028,0.60469,0.35417,0.64531,0.50556,0.64766,0.44306,0.64375,0.40278,0.63594,0.36667,0.66406,0.52500,0.67266,0.47500,0.67188,0.44028,0.66719,0.40694,0.62301,0.72156,0.62422,0.68611,119.66,0.9651,live,0.0698,0.0878,61.42,699.20
228165.936542,80.0,0.8803,0.62500,0.68889,0.58672,0.64444,0.56875,0.58056,0.56641,0.52361,0.56563,0.48056,0.60625,0.51250,0.59844,0.45417,0.59062,0.42083,0.58203,0.39167,0.62969,0.50556,0.63125,0.43889,0.62578,0.39722,0.61641,0.36111,0.65078,0.51250,0.65547,0.45139,0.65234,0.41111,0.64531,0.37500,0.66953,0.53056,0.67812,0.48194,0.67812,0.44861,0.67422,0.41528,0.62341,0.71503,0.62500,0.68889,117.72,0.9599,live,0.0698,0.0877,61.42,700.06
228166.002800,80.0,0.9689,0.62344,0.70139,0.58594,0.65694,0.56953,0.59028,0.56719,0.53472,0.57031,0.49444,0.60781,0.52500,0.60156,0.46667,0.59453,0.43056,0.58750,0.39861,0.63203,0.51806,0.63359,0.45139,0.62969,0.40833,0.62187,0.37083,0.65312,0.52639,0.65781,0.46528,0.65547,0.42500,0.65000,0.38750,0.67266,0.54444,0.68047,0.49444,0.67969,0.46111,0.67500,0.42778,0.62342,0.71230,0.62344,0.70139,118.64,0.9667,live,0.0698,0.0729,51.14,701.47
228166.070303,80.0,0.0522,0.62031,0.74028,0.58203,0.69861,0.56172,0.63056,0.55859,0.57639,0.55703,0.53194,0.60078,0.54722,0.59219,0.48333,0.58437,0.44583,0.57500,0.41389,0.62813,0.54167,0.63047,0.47222,0.62500,0.42639,0.61719,0.39028,0.65078,0.55556,0.65859,0.49306,0.65625,0.45000,0.64922,0.41389,0.67031,0.58472,0.68203,0.53750,0.68281,0.50278,0.67969,0.47222,0.62280,0.71789,0.62031,0.74028,126.65,0.9718,live,0.0642,0.0386,27.35,708.48
228166.138100,80.0,0.1434,0.62344,0.79167,0.58984,0.77639,0.56016,0.73194,0.53906,0.70000,0.52422,0.67083,0.58906,0.65556,0.58203,0.57778,0.57344,0.58056,0.56641,0.60000,0.61641,0.65972,0.61641,0.57639,0.60938,0.57778,0.60391,0.59722,0.64219,0.68056,0.64922,0.60278,0.64609,0.58750,0.63906,0.58472,0.66719,0.71806,0.68594,0.67222,0.69063,0.65278,0.68672,0.63750,0.62292,0.73265,0.62344,0.79167,97.40,0.9341,live,0.0642,0.0394,27.35,693.59
228166.203403,80.0,0.2307,0.63125,0.83194,0.59531,0.83056,0.56328,0.80000,0.54219,0.78750,0.52031,0.77778,0.59609,0.74583,0.58437,0.69167,0.57109,0.69444,0.55703,0.71389,0.62656,0.74861,0.62813,0.68611,0.62422,0.69444,0.61875,0.72361,0.65312,0.76528,0.66719,0.70417,0.67422,0.70972,0.67344,0.72917,0.67500,0.79444,0.69844,0.75972,0.71406,0.75972,0.72266,0.77083,0.62459,0.75251,0.63125,0.83194,76.49,0.9562,live,0.0642,0.0440,29.27,665.44
228166.271825,80.0,0.3211,0.63984,0.82917,0.60078,0.79167,0.57031,0.74583,0.55234,0.71250,0.53438,0.68333,0.60547,0.67778,0.59766,0.62083,0.58516,0.60278,0.57266,0.60000,0.63438,0.67917,0.64062,0.61667,0.63750,0.59722,0.63203,0.59583,0.66094,0.69861,0.67422,0.64861,0.68047,0.63056,0.68281,0.62361,0.68281,0.73194,0.70234,0.70139,0.71641,0.69028,0.72578,0.68472,0.62764,0.76784,0.63984,0.82917,105.30,0.9354,live,0.0642,0.0614,40.60,661.40
228166.336425,80.0,0.4184,0.64062,0.80000,0.60313,0.73194,0.58125,0.66944,0.57031,0.62222,0.55625,0.58333,0.61719,0.59167,0.60938,0.53889,0.60156,0.50556,0.59297,0.47222,0.64609,0.59028,0.65078,0.53056,0.64922,0.49583,0.64375,0.45833,0.66953,0.60694,0.68281,0.55833,0.68750,0.52500,0.68672,0.49028,0.68672,0.64167,0.70469,0.60694,0.71484,0.58472,0.72188,0.55972,0.63024,0.77427,0.64062,0.80000,132.13,0.9695,live,0.0642,0.0674,45.65,677.16
228166.403799,80.0,0.5131,0.64531,0.74306,0.60938,0.66944,0.59062,0.60139,0.58281,0.54583,0.57344,0.50139,0.62656,0.52500,0.61953,0.46528,0.61406,0.42361,0.61094,0.38333,0.65391,0.52083,0.65859,0.45417,0.65938,0.40833,0.65859,0.36389,0.67734,0.53472,0.68828,0.47639,0.69141,0.43333,0.69219,0.39167,0.69531,0.56806,0.71094,0.52500,0.71797,0.49167,0.72266,0.45833,0.63325,0.76803,0.64531,0.74306,138.46,0.9729,live,0.0642,0.0670,46.62,695.59
228166.469392,80.0,0.5830,0.65156,0.68472,0.61406,0.62083,0.59609,0.54861,0.59219,0.49028,0.58516,0.44167,0.63359,0.46806,0.62734,0.40556,0.62266,0.36250,0.61875,0.32222,0.66172,0.46389,0.66719,0.39306,0.66641,0.34444,0.66484,0.30278,0.68359,0.47917,0.69531,0.41667,0.69766,0.37222,0.69609,0.33194,0.70234,0.50972,0.71562,0.46111,0.72109,0.42639,0.72344,0.39167,0.63691,0.75137,0.65156,0.68472,137.99,0.9734,live,0.0642,0.0677,48.14,711.47
228166.536041,80.0,0.6730,0.65703,0.63472,0.61797,0.58056,0.60078,0.51250,0.59844,0.45417,0.59219,0.40833,0.63984,0.44028,0.63438,0.38056,0.62969,0.34167,0.62734,0.30417,0.66484,0.43750,0.67109,0.36667,0.67031,0.32222,0.66875,0.28056,0.68594,0.45000,0.69688,0.38611,0.69766,0.34306,0.69688,0.30278,0.70391,0.47500,0.71719,0.42500,0.72109,0.39028,0.72266,0.35556,0.64094,0.72804,0.65703,0.63472,124.88,0.9583,live,0.0642,0.0703,50.30,716.01
228166.602921,80.0,0.7616,0.65781,0.60833,0.62109,0.56250,0.60469,0.49861,0.60391,0.44306,0.60078,0.40139,0.64297,0.43889,0.63828,0.37917,0.63281,0.34167,0.62813,0.30694,0.66641,0.43333,0.67188,0.36667,0.67031,0.32222,0.66719,0.28333,0.68594,0.44167,0.69531,0.37917,0.69531,0.33750,0.69219,0.30000,0.70234,0.45972,0.71484,0.41111,0.71719,0.37500,0.71641,0.33889,0.64431,0.70410,0.65781,0.60833,112.16,0.9359,live,0.0642,0.0810,57.54,710.84
228166.669040,80.0,0.8507,0.65703,0.60278,0.62031,0.55972,0.60703,0.50417,0.60781,0.45139,0.60859,0.41111,0.64609,0.45556,0.63984,0.40417,0.63438,0.36944,0.62969,0.33611,0.66719,0.44861,0.66953,0.38889,0.66641,0.34722,0.66172,0.31111,0.68594,0.45139,0.69063,0.39444,0.68672,0.35417,0.68047,0.31806,0.70234,0.46111,0.71172,0.41389,0.71094,0.37917,0.70625,0.34722,0.64686,0.68383,0.65703,0.60278,102.03,0.9474,live,0.0712,0.1030,72.03,699.01
228166.735914,80.0,0.9408,0.65000,0.61111,0.61719,0.57500,0.60703,0.52778,0.60938,0.48056,0.61328,0.44583,0.64687,0.49028,0.63984,0.44167,0.63047,0.40833,0.62187,0.38333,0.66563,0.47917,0.66563,0.42222,0.65625,0.38472,0.64531,0.35833,0.68359,0.47500,0.68594,0.42083,0.67734,0.38611,0.66641,0.36111,0.70078,0.47639,0.70781,0.43056,0.70078,0.40139,0.68984,0.38056,0.64749,0.66929,0.65000,0.61111,92.66,0.9543,live,0.0800,0.1201,81.86,681.84
228166.802283,80.0,0.0280,0.63906,0.65694,0.60469,0.62500,0.59141,0.56528,0.59297,0.51528,0.59688,0.47917,0.63047,0.50556,0.62266,0.45417,0.61250,0.42222,0.60078,0.40000,0.65234,0.49722,0.65156,0.43889,0.64297,0.40278,0.62969,0.37778,0.67188,0.50139,0.67422,0.44444,0.66563,0.40972,0.65391,0.38611,0.69063,0.51389,0.69688,0.46389,0.69219,0.43194,0.68203,0.40556,0.64580,0.66682,0.63906,0.65694,106.34,0.9655,live,0.0876,0.1223,82.73,676.59
