timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
160195.937924,120.0,0.0609,4,1,1,0.77422,0.78333,0.72734,0.70417,0.69844,0.61944,0.69609,0.54861,0.70937,0.49167,0.74766,0.51806,0.74609,0.43611,0.73594,0.40139,0.72266,0.39028,0.78359,0.51806,0.79141,0.43611,0.78516,0.39583,0.77187,0.38472,0.81641,0.54028,0.83047,0.46250,0.83047,0.42222,0.81953,0.41111,0.84688,0.57917,0.86641,0.51250,0.87031,0.47500,0.86562,0.45694,0.60919,0.87572,0.9983,0.84145,1.00000,0.4822,0.80111,0.74700,0.4445,0.77809,0.92609,0.77422,0.78333,173.43,0.9615,live,0.3510,0.0644,52.23,810.97
160196.003724,120.0,0.1925,4,1,1,0.75703,0.69028,0.70937,0.59722,0.68594,0.51806,0.68281,0.44167,0.69141,0.38194,0.73125,0.43333,0.72422,0.36667,0.71562,0.32500,0.70703,0.28472,0.76094,0.42639,0.76328,0.35139,0.75781,0.30694,0.74844,0.26806,0.78906,0.43750,0.79844,0.36389,0.79453,0.32083,0.78516,0.29028,0.81719,0.46389,0.83047,0.39583,0.82969,0.35556,0.82188,0.32083,0.60903,0.87978,0.9985,0.84830,1.00000,0.5243,0.79898,0.66160,0.4996,0.77388,0.87893,0.75703,0.69028,167.61,0.9626,live,0.3510,0.1036,86.43,834.33
160196.070212,120.0,0.3255,4,1,1,0.73906,0.59306,0.68906,0.50556,0.66719,0.42778,0.66484,0.35417,0.67031,0.29583,0.70703,0.35000,0.69922,0.28611,0.68906,0.24306,0.67969,0.20278,0.73438,0.33889,0.73281,0.26528,0.72422,0.21944,0.71250,0.18056,0.75938,0.34306,0.76328,0.27083,0.75703,0.22778,0.74609,0.19444,0.78516,0.36250,0.79297,0.29583,0.78984,0.25694,0.78203,0.22361,0.60915,0.88219,0.9986,0.84670,1.00000,0.5669,0.77531,0.56916,0.5494,0.76692,0.82175,0.73906,0.59306,159.85,0.9452,live,0.3510,0.1510,128.28,849.31
160196.137697,120.0,0.4605,4,1,1,0.72734,0.50556,0.67344,0.43472,0.64922,0.36250,0.64609,0.29167,0.64766,0.23472,0.68750,0.28333,0.67734,0.21944,0.66797,0.17917,0.65859,0.14028,0.71406,0.26944,0.70937,0.19583,0.70000,0.15278,0.68672,0.12083,0.73828,0.27083,0.74141,0.20000,0.73359,0.15833,0.72109,0.12778,0.76328,0.28611,0.76797,0.22361,0.76250,0.18750,0.75078,0.15694,0.61347,0.87713,0.9987,0.84686,1.00000,0.6045,0.75035,0.50713,0.5941,0.75900,0.75851,0.72734,0.50556,150.09,0.9603,live,0.3510,0.2043,174.77,855.46
160196.203479,120.0,0.5920,4,1,1,0.71641,0.45139,0.66328,0.39861,0.63906,0.33333,0.63516,0.26667,0.63672,0.21389,0.67422,0.25278,0.66484,0.19028,0.65625,0.15556,0.64609,0.12361,0.70156,0.23889,0.69688,0.16528,0.68594,0.12500,0.67188,0.09722,0.72578,0.24028,0.72656,0.16806,0.71797,0.12778,0.70547,0.10000,0.75078,0.25278,0.75156,0.19306,0.74531,0.15556,0.73594,0.12361,0.61500,0.87587,0.9987,0.84519,1.00000,0.6351,0.73525,0.49049,0.6342,0.75048,0.69709,0.71641,0.45139,138.66,0.9625,live,0.3343,0.2582,220.16,852.64
160196.270798,120.0,0.7267,4,1,1,0.71016,0.46389,0.65938,0.42083,0.63359,0.35556,0.63047,0.28750,0.63203,0.23472,0.67109,0.27361,0.66094,0.21111,0.65156,0.17500,0.64141,0.14167,0.69766,0.25694,0.69141,0.18611,0.68125,0.14444,0.66797,0.11250,0.72188,0.25833,0.72109,0.18889,0.71328,0.15000,0.70078,0.11944,0.74687,0.27083,0.74922,0.21111,0.74297,0.17500,0.73281,0.14306,0.61505,0.87485,0.9988,0.84853,1.00000,0.6655,0.72876,0.49486,0.6705,0.74242,0.65045,0.71016,0.46389,134.86,0.9661,live,0.3283,0.3009,255.03,847.42
160196.338299,120.0,0.8617,4,1,1,0.69922,0.52917,0.65625,0.49028,0.63047,0.42361,0.62344,0.35972,0.62734,0.31111,0.66797,0.33889,0.65859,0.27222,0.64766,0.23750,0.63672,0.20556,0.69531,0.32778,0.69219,0.25278,0.68203,0.21250,0.66953,0.18056,0.72266,0.33333,0.72500,0.26250,0.71875,0.22500,0.70859,0.19861,0.74766,0.35278,0.75469,0.29028,0.75234,0.25694,0.74375,0.23333,0.61491,0.87355,0.9989,0.84915,1.00000,0.6904,0.73050,0.53302,0.7029,0.73378,0.62619,0.69922,0.52917,132.91,0.9771,live,0.3283,0.3163,266.13,841.42
160196.403622,120.0,0.9923,4,1,1,0.69688,0.57917,0.66016,0.57361,0.63047,0.54583,0.61250,0.52500,0.61250,0.49306,0.65469,0.43333,0.64922,0.36944,0.64375,0.37639,0.64141,0.40972,0.68672,0.42639,0.68594,0.36250,0.68047,0.37500,0.67656,0.41250,0.71641,0.44306,0.71953,0.38611,0.71328,0.40139,0.70781,0.43750,0.74531,0.47500,0.75078,0.44583,0.74844,0.45556,0.74531,0.47917,0.61476,0.87337,0.9989,0.83458,1.00000,0.7095,0.73103,0.65856,0.7321,0.72640,0.61679,0.69688,0.57917,111.49,0.9075,live,0.3283,0.3350,274.91,820.73
160196.470503,120.0,0.1261,4,2,0,0.70469,0.83194,0.66563,0.81389,0.63516,0.77083,0.61953,0.74444,0.61094,0.72083,0.65938,0.67083,0.65078,0.60139,0.63672,0.60833,0.62734,0.64306,0.69453,0.67500,0.69766,0.59306,0.68437,0.61528,0.67344,0.66250,0.72734,0.70139,0.73984,0.61944,0.72656,0.65278,0.71484,0.69861,0.75703,0.74306,0.77656,0.70278,0.76875,0.72500,0.75938,0.75694,0.60609,0.87364,0.9990,0.83470,1.00000,0.7296,0.73319,0.83012,0.7582,0.72206,0.65982,0.70469,0.83194,117.87,0.9844,live,0.3283,0.3208,258.89,807.10
160196.538341,120.0,0.2618,4,2,0,0.70625,0.88333,0.66953,0.87917,0.63359,0.82361,0.61094,0.81111,0.61875,0.80972,0.66641,0.75556,0.65234,0.68333,0.63906,0.71389,0.63047,0.77222,0.70547,0.76389,0.70156,0.67639,0.68828,0.71806,0.67969,0.78611,0.73906,0.78611,0.74687,0.70694,0.73828,0.75694,0.72734,0.81806,0.76719,0.81528,0.78750,0.79167,0.79063,0.82917,0.78750,0.87083,0.60448,0.87359,0.9990,0.82346,1.00000,0.7433,0.73542,0.92624,0.7807,0.71889,0.70452,0.70625,0.88333,104.82,0.9911,live,0.3153,0.2564,201.44,785.72
