timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
158534.821918,100.0,0.0427,4,1,1,0.69922,0.83472,0.66719,0.81806,0.64219,0.77639,0.63594,0.74583,0.65391,0.71667,0.66484,0.67361,0.65703,0.61111,0.64141,0.62500,0.63047,0.66111,0.69297,0.67778,0.69453,0.60417,0.67812,0.62222,0.66719,0.66389,0.72031,0.70139,0.72891,0.62778,0.71562,0.64167,0.70312,0.67917,0.74687,0.74028,0.76562,0.68750,0.75859,0.68472,0.74609,0.70694,0.65330,0.82779,0.9999,0.85018,1.00000,0.9395,0.73605,0.86764,0.9966,0.69126,0.74887,0.69922,0.83472,111.04,0.9978,live,0.1177,0.0939,65.94,702.52
158534.922561,100.0,0.2104,4,1,1,0.70078,0.81111,0.66797,0.79583,0.64219,0.75417,0.63438,0.72083,0.65156,0.69167,0.66328,0.65139,0.65625,0.59167,0.64375,0.59861,0.63594,0.63472,0.69297,0.65278,0.69531,0.57500,0.68203,0.58472,0.67188,0.62778,0.72109,0.67500,0.73047,0.60139,0.71953,0.60694,0.70859,0.64167,0.74687,0.71250,0.76562,0.65833,0.75938,0.65139,0.74687,0.67083,0.65513,0.82496,0.9999,0.85395,1.00000,0.9388,0.73542,0.84121,0.9966,0.69316,0.76132,0.70078,0.81111,111.77,0.9977,live,0.1177,0.1056,73.78,698.69
158534.990964,100.0,0.3244,4,1,1,0.70391,0.77083,0.66719,0.74722,0.64141,0.69861,0.63828,0.65972,0.65312,0.62778,0.66953,0.58889,0.66484,0.53056,0.64844,0.52778,0.63594,0.55278,0.69766,0.59028,0.69922,0.52083,0.68437,0.51667,0.67188,0.55139,0.72344,0.61250,0.73281,0.54028,0.72266,0.53333,0.71094,0.55972,0.74766,0.65278,0.76484,0.60417,0.76094,0.59167,0.75078,0.60278,0.65256,0.82690,0.9999,0.85453,1.00000,0.9379,0.73515,0.81477,0.9965,0.69531,0.76322,0.70391,0.77083,120.07,0.9977,live,0.1177,0.1076,75.45,701.30
158535.058755,100.0,0.4374,4,1,1,0.70781,0.72361,0.66953,0.68194,0.64453,0.62778,0.64141,0.57917,0.65234,0.53333,0.67344,0.52639,0.66719,0.47639,0.65625,0.45694,0.64531,0.45417,0.70000,0.52500,0.70078,0.46944,0.69609,0.44444,0.68906,0.43889,0.72422,0.54444,0.73125,0.49306,0.73125,0.46389,0.72422,0.45278,0.74687,0.57917,0.75938,0.54028,0.76094,0.51389,0.75547,0.49444,0.65251,0.82973,0.9999,0.84650,1.00000,0.9396,0.73343,0.73805,0.9967,0.69781,0.75530,0.70781,0.72361,127.20,0.9971,live,0.1177,0.1071,75.93,708.73
158535.125366,100.0,0.5484,4,1,1,0.70703,0.66389,0.66875,0.59722,0.64844,0.53750,0.64766,0.48194,0.65156,0.43472,0.67578,0.45556,0.66641,0.40833,0.65781,0.37500,0.65000,0.34306,0.70078,0.45000,0.70000,0.39583,0.69688,0.35694,0.69219,0.32083,0.72344,0.46111,0.72813,0.41250,0.72813,0.37639,0.72422,0.34167,0.74453,0.49028,0.75313,0.44583,0.75469,0.41528,0.75313,0.38472,0.65237,0.82964,0.9999,0.84690,1.00000,0.9380,0.73300,0.65199,0.9968,0.69966,0.73702,0.70703,0.66389,133.71,0.9855,live,0.1177,0.1011,72.78,719.95
158535.193943,100.0,0.6627,4,1,1,0.71016,0.59444,0.66797,0.52361,0.64922,0.45694,0.64922,0.39167,0.65234,0.33750,0.67656,0.38194,0.66641,0.32361,0.66094,0.28333,0.65625,0.24444,0.70156,0.37500,0.70078,0.31389,0.69844,0.26944,0.69609,0.23056,0.72344,0.38056,0.72656,0.32222,0.72500,0.27917,0.72109,0.23889,0.74531,0.40139,0.75078,0.34861,0.75078,0.31389,0.74844,0.28056,0.65385,0.83293,0.9999,0.84650,1.00000,0.9409,0.73410,0.59402,0.9970,0.70176,0.70850,0.71016,0.59444,138.13,0.9637,live,0.1118,0.0847,62.08,733.01
158535.258755,100.0,0.7708,4,1,1,0.70625,0.53611,0.66328,0.46528,0.64609,0.39722,0.64609,0.33194,0.64922,0.27639,0.67344,0.31806,0.66563,0.25833,0.65859,0.22083,0.65312,0.18056,0.69844,0.30694,0.69688,0.24167,0.69141,0.20000,0.68437,0.15833,0.72031,0.31250,0.72344,0.25000,0.71953,0.20833,0.71250,0.17083,0.74219,0.33472,0.74766,0.28056,0.74766,0.24444,0.74375,0.20833,0.65354,0.83340,0.9999,0.84416,0.99998,0.9413,0.73000,0.52862,0.9971,0.70265,0.67402,0.70625,0.53611,142.19,0.9683,live,0.1118,0.0896,66.99,747.42
158535.324976,100.0,0.8811,4,1,1,0.70312,0.49306,0.65938,0.43889,0.64062,0.37500,0.63906,0.30833,0.64219,0.25278,0.66797,0.28750,0.66250,0.23194,0.65547,0.20000,0.64844,0.16389,0.69375,0.27917,0.69297,0.21389,0.68594,0.17639,0.67578,0.14028,0.71562,0.28611,0.71953,0.22083,0.71406,0.18472,0.70625,0.15139,0.73750,0.30833,0.74219,0.25417,0.74062,0.21944,0.73672,0.18472,0.65266,0.83965,0.9999,0.83904,0.99259,0.9420,0.72600,0.50941,0.9972,0.70275,0.63783,0.70312,0.49306,134.88,0.9819,live,0.1118,0.1218,91.92,754.84
158535.394455,100.0,0.9969,4,1,1,0.69688,0.49722,0.65391,0.45000,0.63438,0.38333,0.63359,0.31667,0.63594,0.26250,0.66563,0.30278,0.65781,0.24306,0.64922,0.20972,0.64062,0.17639,0.69063,0.29167,0.68828,0.22361,0.68125,0.18333,0.67109,0.14583,0.71250,0.29722,0.71484,0.23056,0.71016,0.19167,0.70156,0.15694,0.73438,0.31528,0.73750,0.26250,0.73594,0.22778,0.73125,0.19444,0.65094,0.83959,0.9999,0.83576,0.99311,0.9410,0.71957,0.51035,0.9972,0.70157,0.60971,0.69688,0.49722,130.45,0.9777,live,0.1181,0.1471,111.50,758.19
158535.459259,100.0,0.1049,4,2,0,0.69141,0.52500,0.65000,0.47917,0.63125,0.41111,0.62969,0.34583,0.62969,0.29306,0.66094,0.32917,0.65234,0.27361,0.64453,0.24028,0.63750,0.20833,0.68672,0.31806,0.68359,0.25000,0.67656,0.20972,0.66641,0.17500,0.71016,0.32500,0.71328,0.25833,0.70781,0.21806,0.70000,0.18472,0.73203,0.34583,0.73672,0.29444,0.73516,0.25972,0.72969,0.22917,0.65071,0.84170,0.9999,0.83633,1.00000,0.9405,0.71936,0.52545,0.9973,0.69954,0.59277,0.69141,0.52500,131.57,0.9767,live,0.1260,0.1619,123.34,761.93
