timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
131366.092183,120.0,0.4814,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31944,0.73743,0.9994,0.25614,1.00000,0.5219,0.25313,1.00000,0.0549,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.157631,120.0,0.6075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31864,0.73742,0.9994,0.24476,1.00000,0.5283,0.21957,1.00000,0.0533,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.224212,120.0,0.7387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31889,0.73742,0.9994,0.25120,1.00000,0.5256,0.24311,1.00000,0.0549,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.291567,120.0,0.8730,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31882,0.73776,0.9994,0.25676,1.00000,0.5187,0.24612,1.00000,0.0540,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.356964,120.0,0.0036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31965,0.73909,0.9994,0.26091,1.00000,0.5196,0.25366,1.00000,0.0552,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.423924,120.0,0.1497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31945,0.74259,0.9994,0.26052,1.00000,0.5180,0.25807,1.00000,0.0551,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.492270,120.0,0.2678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32028,0.74305,0.9994,0.26795,1.00000,0.5169,0.26230,1.00000,0.0563,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.557797,120.0,0.3980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32048,0.74304,0.9994,0.26769,1.00000,0.5135,0.26219,1.00000,0.0546,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.624130,120.0,0.5313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32083,0.74362,0.9994,0.26919,1.00000,0.5147,0.26213,1.00000,0.0534,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.692398,120.0,0.6695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32084,0.74296,0.9994,0.26908,1.00000,0.5092,0.25969,1.00000,0.0516,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
