timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
134095.092855,120.0,0.0000,2,1,1,0.72422,0.90278,0.69922,0.92222,0.68437,0.95556,0.67656,0.98889,0.67344,0.99861,0.70859,0.90833,0.72031,0.97222,0.72266,0.99861,0.72344,0.99861,0.73516,0.90417,0.74922,0.97500,0.74922,0.99861,0.74687,0.99861,0.75469,0.90972,0.77031,0.97500,0.76875,0.99861,0.76562,0.99861,0.76797,0.92222,0.78359,0.97083,0.78359,0.99861,0.78047,0.99861,0.61870,0.73059,0.9979,0.64426,1.00000,0.4205,0.62492,1.00000,0.4135,0.70153,0.72539,0.72422,0.90278,42.20,0.5983,hold,0.2059,0.1419,76.45,538.88
134095.159677,120.0,0.1336,2,1,1,0.72422,0.90278,0.69922,0.92222,0.68437,0.95556,0.67656,0.98889,0.67344,0.99861,0.70859,0.90833,0.72031,0.97222,0.72266,0.99861,0.72344,0.99861,0.73516,0.90417,0.74922,0.97500,0.74922,0.99861,0.74687,0.99861,0.75469,0.90972,0.77031,0.97500,0.76875,0.99861,0.76562,0.99861,0.76797,0.92222,0.78359,0.97083,0.78359,0.99861,0.78047,0.99861,0.61829,0.73054,0.9978,0.64545,1.00000,0.4174,0.62491,1.00000,0.4026,0.70153,0.72539,0.72422,0.90278,42.20,0.5983,hold,0.2059,0.1419,76.45,538.88
134095.227365,120.0,0.2690,2,1,1,0.72422,0.90278,0.69922,0.92222,0.68437,0.95556,0.67656,0.98889,0.67344,0.99861,0.70859,0.90833,0.72031,0.97222,0.72266,0.99861,0.72344,0.99861,0.73516,0.90417,0.74922,0.97500,0.74922,0.99861,0.74687,0.99861,0.75469,0.90972,0.77031,0.97500,0.76875,0.99861,0.76562,0.99861,0.76797,0.92222,0.78359,0.97083,0.78359,0.99861,0.78047,0.99861,0.62051,0.73107,0.9973,0.64349,1.00000,0.4106,0.56642,1.00000,0.3908,0.70153,0.72539,0.72422,0.90278,42.20,0.5983,hold,0.2059,0.1419,76.45,538.88
134095.293479,120.0,0.4012,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62116,0.72362,0.9973,0.64361,1.00000,0.4227,0.57066,1.00000,0.3996,-1,-1,-1,-1,-1,0.0000,lost,0.2194,0.0000,0.00,538.88
134095.359936,120.0,0.5342,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62491,0.72445,0.9973,0.64359,1.00000,0.4226,0.61452,1.00000,0.3770,-1,-1,-1,-1,-1,0.0000,lost,0.2319,0.0000,0.00,538.88
134095.427398,120.0,0.6691,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62545,0.72453,0.9973,0.64752,1.00000,0.4264,0.63931,1.00000,0.3629,-1,-1,-1,-1,-1,0.0000,lost,0.2433,0.0000,0.00,538.88
134095.498585,120.0,0.8115,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62754,0.72700,0.9975,0.65276,1.00000,0.4391,0.65881,1.00000,0.3408,-1,-1,-1,-1,-1,0.0000,lost,0.2539,0.0000,0.00,538.88
134095.559891,120.0,0.9341,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62850,0.73389,0.9977,0.65529,1.00000,0.4390,0.65704,1.00000,0.3155,-1,-1,-1,-1,-1,0.0000,lost,0.2635,0.0000,0.00,538.88
134095.626742,120.0,0.0678,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62903,0.73425,0.9979,0.65435,1.00000,0.4286,0.65693,1.00000,0.2883,-1,-1,-1,-1,-1,0.0000,lost,0.2725,0.0000,0.00,538.88
134095.692862,120.0,0.2000,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62901,0.73584,0.9981,0.66832,1.00000,0.4335,0.65589,1.00000,0.2665,-1,-1,-1,-1,-1,0.0000,lost,0.2807,0.0000,0.00,538.88
