timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
148701.067467,60.0,0.0236,3,1,1,0.67891,0.52500,0.63125,0.47639,0.61328,0.41111,0.61250,0.34306,0.61172,0.28889,0.63828,0.32917,0.63203,0.26528,0.62656,0.22917,0.62109,0.18889,0.66250,0.31667,0.65547,0.24583,0.64844,0.20417,0.64062,0.15972,0.68359,0.32083,0.68047,0.24861,0.67500,0.20278,0.66953,0.16111,0.70703,0.33750,0.70547,0.27500,0.70312,0.23333,0.70000,0.19306,0.64638,0.81562,0.9997,0.79714,1.00000,0.8883,0.69180,0.51353,0.9966,0.68561,0.55404,0.67891,0.52500,132.42,0.9718,live,0.1063,0.1325,105.67,797.70
148701.139736,60.0,0.0959,3,1,1,0.67812,0.52222,0.63125,0.47639,0.61172,0.40972,0.61016,0.34306,0.61094,0.28889,0.63750,0.32778,0.63047,0.26528,0.62500,0.22639,0.62031,0.18750,0.66094,0.31528,0.65312,0.24444,0.64687,0.20139,0.63906,0.15833,0.68281,0.31944,0.67891,0.24583,0.67344,0.20000,0.66797,0.15694,0.70547,0.33611,0.70391,0.27361,0.70234,0.23333,0.69922,0.19167,0.64641,0.81818,0.9997,0.79730,1.00000,0.8867,0.68981,0.50926,0.9967,0.68411,0.54768,0.67812,0.52222,131.42,0.9672,live,0.1063,0.1043,83.11,796.59
148701.203672,60.0,0.1598,3,1,1,0.67656,0.51806,0.62969,0.47222,0.61094,0.40417,0.61016,0.33750,0.60938,0.28472,0.63594,0.32361,0.62891,0.26111,0.62344,0.22222,0.61953,0.18333,0.65938,0.31111,0.65156,0.24028,0.64531,0.19722,0.63828,0.15278,0.68047,0.31389,0.67734,0.24167,0.67266,0.19583,0.66719,0.15278,0.70391,0.33056,0.70234,0.26806,0.70078,0.22778,0.69766,0.18750,0.64627,0.81894,0.9997,0.79704,1.00000,0.8841,0.68950,0.50589,0.9967,0.68260,0.54175,0.67656,0.51806,131.64,0.9615,live,0.1063,0.0884,70.36,795.78
148701.268437,60.0,0.2246,3,1,1,0.67656,0.51389,0.62813,0.46667,0.60938,0.39861,0.60938,0.33333,0.60859,0.27917,0.63438,0.31944,0.62813,0.25694,0.62266,0.21806,0.61797,0.17917,0.65781,0.30694,0.65078,0.23611,0.64453,0.19306,0.63672,0.15000,0.67969,0.30972,0.67578,0.23750,0.67109,0.19167,0.66563,0.14861,0.70234,0.32639,0.70078,0.26389,0.69922,0.22361,0.69688,0.18194,0.64618,0.81905,0.9997,0.79703,1.00000,0.8850,0.68960,0.50650,0.9968,0.68139,0.53618,0.67656,0.51389,131.77,0.9620,live,0.1063,0.0939,74.63,795.17
148701.333813,60.0,0.2900,3,1,1,0.67422,0.51111,0.62734,0.46528,0.60938,0.39722,0.60859,0.33056,0.60859,0.27778,0.63516,0.31806,0.62813,0.25556,0.62266,0.21806,0.61719,0.17917,0.65781,0.30556,0.65078,0.23611,0.64375,0.19306,0.63594,0.14861,0.67891,0.30972,0.67500,0.23750,0.67031,0.19167,0.66484,0.14722,0.70234,0.32500,0.70000,0.26389,0.69844,0.22222,0.69531,0.18056,0.64641,0.81946,0.9997,0.79543,1.00000,0.8800,0.68902,0.50662,0.9967,0.67996,0.53117,0.67422,0.51111,130.52,0.9644,live,0.1015,0.0795,63.11,793.72
148701.400568,60.0,0.3567,3,1,1,0.67500,0.52222,0.62734,0.47639,0.60781,0.40833,0.60625,0.34167,0.60781,0.28750,0.63516,0.33056,0.62656,0.26806,0.62109,0.22917,0.61641,0.18889,0.65781,0.31806,0.65000,0.24722,0.64297,0.20278,0.63438,0.15972,0.67891,0.32083,0.67500,0.24861,0.66953,0.20278,0.66406,0.15972,0.70156,0.33611,0.70000,0.27500,0.69766,0.23472,0.69453,0.19444,0.64578,0.81903,0.9997,0.79557,1.00000,0.8785,0.68859,0.51098,0.9967,0.67897,0.52938,0.67500,0.52222,129.77,0.9669,live,0.0949,0.0649,51.39,791.91
148701.471732,60.0,0.4279,3,1,1,0.67188,0.55000,0.62500,0.50556,0.60625,0.43611,0.60781,0.37083,0.60781,0.31944,0.63203,0.35972,0.62500,0.29583,0.61953,0.25694,0.61406,0.21667,0.65625,0.34583,0.64922,0.27500,0.64141,0.23194,0.63359,0.19028,0.67812,0.34722,0.67422,0.27778,0.66875,0.23333,0.66328,0.19167,0.70078,0.36250,0.69844,0.30139,0.69609,0.26111,0.69297,0.22361,0.64577,0.81970,0.9997,0.79679,1.00000,0.8802,0.68993,0.52981,0.9968,0.67755,0.53350,0.67188,0.55000,130.64,0.9752,live,0.0852,0.0412,32.61,790.94
148701.539610,60.0,0.4958,3,1,1,0.67109,0.58889,0.62656,0.54583,0.60703,0.47639,0.60781,0.40972,0.60625,0.35556,0.63281,0.39583,0.62500,0.33333,0.61953,0.29306,0.61406,0.25556,0.65625,0.38472,0.64922,0.31389,0.64062,0.27083,0.63125,0.23194,0.67812,0.38750,0.67500,0.31528,0.66875,0.27222,0.66250,0.23194,0.70000,0.40417,0.69922,0.34306,0.69688,0.30417,0.69297,0.26528,0.64575,0.82071,0.9997,0.79573,1.00000,0.8750,0.69148,0.57283,0.9965,0.67626,0.54458,0.67109,0.58889,129.97,0.9753,live,0.0760,0.0342,26.97,789.61
148701.604256,60.0,0.5604,3,1,1,0.66875,0.63750,0.62656,0.59444,0.60625,0.52083,0.60547,0.45556,0.60391,0.40139,0.63281,0.44028,0.62422,0.37778,0.61641,0.34028,0.60938,0.30278,0.65703,0.42917,0.64922,0.36111,0.63906,0.32083,0.62813,0.28472,0.67891,0.43472,0.67578,0.36389,0.66875,0.32083,0.66094,0.28194,0.70156,0.45278,0.70078,0.39306,0.69844,0.35556,0.69375,0.31806,0.64577,0.82077,0.9997,0.79291,1.00000,0.8737,0.69174,0.61682,0.9964,0.67476,0.56316,0.66875,0.63750,131.99,0.9848,live,0.0690,0.0369,29.13,789.88
148701.670662,60.0,0.6268,3,1,1,0.66563,0.69028,0.62422,0.64444,0.60859,0.57500,0.60547,0.51111,0.60234,0.45694,0.62969,0.48194,0.62266,0.42500,0.61562,0.39306,0.60859,0.36111,0.65625,0.47361,0.64844,0.40833,0.63828,0.37639,0.62500,0.34306,0.67812,0.48194,0.67578,0.41528,0.66875,0.37917,0.66016,0.34722,0.70234,0.50694,0.70078,0.44722,0.69688,0.41250,0.69219,0.37778,0.64501,0.82485,0.9996,0.79291,1.00000,0.8718,0.68549,0.65540,0.9962,0.67293,0.58859,0.66563,0.69028,137.05,0.9933,live,0.0690,0.0567,44.97,793.77
