timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
155720.647811,80.0,0.0282,4,1,1,0.80156,0.83889,0.77812,0.79167,0.77656,0.73056,0.80234,0.70000,0.83203,0.68333,0.82188,0.65000,0.83750,0.60833,0.84844,0.60972,0.85469,0.64167,0.85391,0.66389,0.87656,0.59861,0.88828,0.60694,0.88672,0.64722,0.87734,0.69444,0.90547,0.64306,0.91875,0.64861,0.91328,0.68472,0.89375,0.74028,0.92500,0.71111,0.93750,0.70694,0.93437,0.72500,0.64686,0.78389,0.9991,0.79153,1.00000,0.8219,0.83700,0.82849,0.9846,0.71762,0.83061,0.80156,0.83889,132.88,0.9802,live,0.2513,0.3294,244.36,741.84
155720.714802,80.0,0.1175,4,1,1,0.80312,0.84444,0.78125,0.79444,0.78047,0.73194,0.80781,0.70139,0.83672,0.68889,0.82734,0.65417,0.84297,0.61250,0.85313,0.61389,0.85859,0.64167,0.85859,0.66806,0.88125,0.60278,0.89219,0.61111,0.88984,0.65139,0.88125,0.69861,0.91016,0.64722,0.92266,0.65139,0.91875,0.68472,0.89766,0.74444,0.92734,0.72083,0.93984,0.71389,0.93828,0.72639,0.64728,0.78356,0.9992,0.78571,1.00000,0.8067,0.83498,0.82865,0.9854,0.73472,0.83338,0.80312,0.84444,134.45,0.9826,live,0.2698,0.3539,265.30,749.62
155720.781279,80.0,0.2061,4,1,1,0.80937,0.85139,0.78750,0.80000,0.78594,0.74028,0.81406,0.71111,0.84453,0.69583,0.83281,0.66111,0.84922,0.61944,0.86016,0.62361,0.86562,0.65556,0.86406,0.67500,0.88906,0.61111,0.90078,0.62361,0.90000,0.66667,0.88750,0.70694,0.91641,0.65556,0.93125,0.66389,0.92891,0.69861,0.90391,0.75139,0.93437,0.72639,0.94844,0.72639,0.94844,0.74306,0.64772,0.78260,0.9992,0.78697,1.00000,0.7976,0.83920,0.82981,0.9860,0.74965,0.83698,0.80937,0.85139,134.47,0.9762,live,0.2861,0.3605,272.75,756.49
155720.847903,80.0,0.2949,4,1,1,0.81406,0.85833,0.79141,0.80694,0.79141,0.74722,0.82109,0.71944,0.85234,0.70694,0.83828,0.67083,0.85625,0.62917,0.86719,0.63472,0.87266,0.66944,0.87031,0.68472,0.89609,0.61944,0.90703,0.63056,0.90703,0.67361,0.89297,0.71528,0.92500,0.66389,0.93828,0.67222,0.93750,0.71111,0.90859,0.76111,0.94063,0.73333,0.95547,0.73472,0.95781,0.75694,0.64770,0.78215,0.9993,0.78535,1.00000,0.7943,0.84278,0.83109,0.9869,0.76253,0.84125,0.81406,0.85833,133.39,0.9718,live,0.2952,0.3366,256.40,761.75
155720.914756,80.0,0.3841,4,1,1,0.81328,0.86806,0.79141,0.81528,0.79219,0.75556,0.82266,0.72917,0.85391,0.71528,0.83984,0.67917,0.85938,0.63611,0.86953,0.64583,0.87500,0.68194,0.87109,0.69444,0.89687,0.63056,0.90938,0.64306,0.90938,0.68611,0.89297,0.72639,0.92344,0.67500,0.93828,0.68333,0.93594,0.71667,0.90703,0.77222,0.93984,0.74861,0.95469,0.74861,0.95547,0.76528,0.64767,0.78203,0.9993,0.78077,1.00000,0.7886,0.83803,0.86364,0.9873,0.77268,0.84661,0.81328,0.86806,133.22,0.9695,live,0.3054,0.3521,269.76,766.26
155720.980981,80.0,0.4724,4,1,1,0.80312,0.87222,0.77891,0.82361,0.77891,0.76250,0.80859,0.73750,0.83828,0.72222,0.82656,0.68611,0.84531,0.64306,0.85703,0.65139,0.86484,0.68472,0.85938,0.70139,0.88672,0.63333,0.89844,0.64444,0.89766,0.68611,0.88359,0.73194,0.91641,0.67778,0.93047,0.68750,0.92656,0.72500,0.89922,0.77778,0.93359,0.74861,0.94688,0.75139,0.94531,0.77500,0.64765,0.78334,0.9993,0.77620,1.00000,0.7850,0.83589,0.88935,0.9878,0.77877,0.85173,0.80312,0.87222,133.61,0.9694,live,0.3054,0.2943,226.75,770.51
155721.047774,80.0,0.5614,4,1,1,0.77891,0.85694,0.75391,0.81111,0.74531,0.75278,0.76719,0.72222,0.79141,0.70139,0.79219,0.65972,0.80391,0.61250,0.81328,0.62222,0.82188,0.65417,0.82500,0.67083,0.84766,0.60417,0.85703,0.62361,0.85781,0.66806,0.85078,0.70139,0.87813,0.64722,0.88828,0.66111,0.88594,0.69861,0.87031,0.74722,0.89844,0.71250,0.90781,0.71944,0.90625,0.74444,0.64566,0.78327,0.9994,0.77094,1.00000,0.7777,0.81890,0.84743,0.9882,0.77880,0.85278,0.77891,0.85694,137.20,0.9701,live,0.2828,0.1800,139.81,776.83
155721.115269,80.0,0.6514,4,1,1,0.75938,0.78472,0.74297,0.74444,0.73906,0.69306,0.74219,0.65139,0.74453,0.61389,0.77031,0.58333,0.78047,0.51806,0.77734,0.52639,0.77187,0.55556,0.79453,0.59167,0.80781,0.52361,0.80156,0.54722,0.79063,0.57917,0.81484,0.61250,0.83125,0.55694,0.82344,0.57639,0.81172,0.60278,0.83203,0.64583,0.84922,0.61111,0.83984,0.61944,0.82656,0.63333,0.64566,0.77956,0.9994,0.80772,1.00000,0.7826,0.78875,0.77927,0.9890,0.77491,0.83917,0.75938,0.78472,129.81,0.9726,live,0.2566,0.1372,106.61,777.08
155721.181486,80.0,0.7397,4,1,1,0.75938,0.78472,0.74297,0.74444,0.73906,0.69306,0.74219,0.65139,0.74453,0.61389,0.77031,0.58333,0.78047,0.51806,0.77734,0.52639,0.77187,0.55556,0.79453,0.59167,0.80781,0.52361,0.80156,0.54722,0.79063,0.57917,0.81484,0.61250,0.83125,0.55694,0.82344,0.57639,0.81172,0.60278,0.83203,0.64583,0.84922,0.61111,0.83984,0.61944,0.82656,0.63333,0.64318,0.77087,0.9994,0.80407,1.00000,0.7914,0.74161,0.57663,0.9898,0.77491,0.83917,0.75938,0.78472,129.81,0.5836,hold,0.2566,0.1372,106.61,777.08
155721.248035,80.0,0.8285,4,1,1,0.68281,0.40556,0.64453,0.36389,0.62422,0.29444,0.62344,0.23056,0.63438,0.17639,0.65078,0.20972,0.64453,0.13889,0.63750,0.10972,0.62969,0.10694,0.67656,0.19861,0.67734,0.11667,0.66719,0.08889,0.65469,0.09306,0.70000,0.20556,0.70625,0.12361,0.69688,0.10139,0.68437,0.11528,0.72266,0.22639,0.72969,0.15972,0.72344,0.14028,0.71328,0.15000,0.63194,0.76795,0.9995,0.80138,0.89869,0.8052,0.71181,0.43128,0.9907,0.75649,0.75244,0.68281,0.40556,131.89,0.9253,live,0.2316,0.1177,91.66,778.79
