timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
172050.790868,80.0,0.0000,2,1,1,0.68203,0.57500,0.64531,0.59583,0.61016,0.63611,0.58359,0.66667,0.56328,0.69167,0.59219,0.62917,0.56406,0.68750,0.54766,0.72778,0.53594,0.76250,0.60781,0.62639,0.57578,0.69861,0.56016,0.74722,0.54922,0.78889,0.62969,0.62778,0.60156,0.69583,0.58906,0.74167,0.58047,0.78056,0.65547,0.63333,0.64062,0.68194,0.63516,0.71806,0.63047,0.75278,0.61877,0.71675,0.9998,0.85581,0.66216,0.9771,0.67169,0.64895,0.9174,0.70319,0.49360,0.68203,0.57500,89.62,0.9957,live,0.2502,0.3409,197.44,579.17
172050.926992,80.0,0.1810,2,1,1,0.70000,0.52500,0.66328,0.55833,0.62266,0.60000,0.59219,0.63056,0.56875,0.65417,0.60938,0.56944,0.58281,0.61944,0.56953,0.65556,0.56016,0.68472,0.62734,0.56111,0.60000,0.62222,0.58516,0.66944,0.57500,0.70972,0.65234,0.55833,0.62734,0.62083,0.61641,0.66389,0.60781,0.70139,0.67969,0.56111,0.66719,0.60556,0.66094,0.64028,0.65547,0.67083,0.61921,0.70285,0.9998,0.85456,0.65764,0.9787,0.69051,0.61707,0.9128,0.70255,0.49988,0.70000,0.52500,85.97,0.9786,live,0.2571,0.2889,165.10,571.56
172050.994712,80.0,0.2712,2,1,1,0.72109,0.47917,0.68437,0.51806,0.65156,0.55417,0.63203,0.58750,0.61953,0.61944,0.62969,0.49722,0.60000,0.53194,0.58594,0.56667,0.57656,0.59722,0.64687,0.48611,0.61719,0.52639,0.60234,0.56667,0.59531,0.60278,0.67109,0.48194,0.64766,0.52639,0.63594,0.56250,0.62813,0.59583,0.69922,0.48750,0.68906,0.52361,0.68281,0.55417,0.67969,0.58333,0.62131,0.70826,0.9998,0.84794,0.65280,0.9798,0.68708,0.53567,0.9159,0.70626,0.49574,0.72109,0.47917,82.69,0.9910,live,0.2571,0.2404,135.20,562.51
172051.060184,80.0,0.3585,2,1,1,0.72266,0.43333,0.68672,0.45833,0.65156,0.46111,0.62578,0.46528,0.60156,0.46944,0.65312,0.38611,0.62734,0.40139,0.61328,0.42361,0.60391,0.45278,0.66875,0.37361,0.64609,0.38472,0.63438,0.41250,0.62813,0.44306,0.69219,0.37222,0.67656,0.38472,0.66328,0.40972,0.65391,0.43889,0.71719,0.38194,0.71562,0.38750,0.71094,0.40417,0.70703,0.42222,0.62108,0.70956,0.9998,0.84016,0.65262,0.9783,0.69648,0.42411,0.9201,0.70954,0.48326,0.72266,0.43333,74.07,0.9935,live,0.2571,0.2466,135.20,548.34
172051.124157,80.0,0.4438,2,1,1,0.73750,0.36389,0.70156,0.37361,0.66719,0.36250,0.64141,0.35000,0.61875,0.33750,0.67734,0.29306,0.65938,0.24722,0.64375,0.26111,0.63438,0.28750,0.69688,0.28056,0.67969,0.22917,0.66328,0.24306,0.65547,0.27083,0.71875,0.27917,0.70859,0.22778,0.69609,0.24167,0.68750,0.26667,0.74297,0.29028,0.74687,0.25278,0.74219,0.25556,0.73516,0.26944,0.62094,0.71089,0.9998,0.83062,0.65247,0.9780,0.71786,0.33726,0.9278,0.71513,0.45938,0.73750,0.36389,77.31,0.9399,live,0.2357,0.1384,74.46,538.20
172051.192253,80.0,0.5346,2,1,1,0.75781,0.31528,0.71484,0.30972,0.68047,0.27361,0.65859,0.23750,0.63828,0.21806,0.69375,0.20556,0.67969,0.15833,0.66484,0.13889,0.65234,0.13611,0.71250,0.18889,0.70312,0.13194,0.68906,0.10833,0.67734,0.09583,0.73125,0.18611,0.72422,0.13472,0.71250,0.10972,0.70547,0.09444,0.75156,0.19444,0.74609,0.15000,0.73750,0.12917,0.73047,0.11389,0.61943,0.72508,0.9998,0.82164,0.64953,0.9766,0.72823,0.28997,0.9346,0.72367,0.43056,0.75781,0.31528,95.89,0.9476,live,0.2121,0.1046,56.76,542.66
172051.257855,80.0,0.6221,2,1,1,0.76797,0.26806,0.72422,0.25000,0.69609,0.19861,0.68047,0.14861,0.66328,0.11528,0.71641,0.12500,0.70781,0.06944,0.69688,0.03056,0.68750,0.00139,0.73672,0.11389,0.72813,0.05278,0.71953,0.01111,0.71172,0.00000,0.75625,0.11528,0.74922,0.05556,0.74141,0.02083,0.73750,0.00000,0.77656,0.12500,0.77031,0.07361,0.76719,0.04583,0.76484,0.02500,0.61979,0.72953,0.9998,0.81142,0.63823,0.9738,0.74642,0.24011,0.9398,0.73253,0.39806,0.76797,0.26806,105.23,0.9657,live,0.2009,0.1495,82.74,553.31
172051.323328,80.0,0.7094,2,1,1,0.77578,0.22917,0.73594,0.20833,0.70859,0.15556,0.69922,0.10000,0.68750,0.05833,0.73125,0.06667,0.72266,0.00972,0.71797,0.00000,0.71484,0.00000,0.75469,0.05278,0.74844,0.00000,0.74531,0.00000,0.74375,0.00000,0.77812,0.05278,0.77500,0.00000,0.77344,0.00000,0.77187,0.00000,0.80234,0.06389,0.80234,0.00833,0.80234,0.00000,0.80234,0.00000,0.61872,0.72933,0.9998,0.81283,0.62800,0.9733,0.75248,0.22248,0.9446,0.74118,0.36428,0.77578,0.22917,118.69,0.9569,live,0.2009,0.1912,109.44,572.37
172051.390757,80.0,0.7993,2,1,1,0.77656,0.21528,0.73594,0.19167,0.71094,0.13750,0.70391,0.08194,0.69531,0.03889,0.73516,0.04722,0.72734,0.00000,0.72344,0.00000,0.72109,0.00000,0.75938,0.03333,0.75391,0.00000,0.75234,0.00000,0.75156,0.00000,0.78203,0.03611,0.77969,0.00000,0.77891,0.00000,0.77969,0.00000,0.80547,0.05000,0.80547,0.00000,0.80469,0.00000,0.80391,0.00000,0.61505,0.72967,0.9998,0.81207,0.62784,0.9703,0.75175,0.20848,0.9493,0.74825,0.33448,0.77656,0.21528,119.89,0.9383,live,0.2009,0.2249,132.68,590.01
172051.457637,80.0,0.8885,2,1,1,0.77422,0.21389,0.73438,0.19167,0.70937,0.13611,0.70312,0.08056,0.69453,0.04028,0.73125,0.05000,0.72344,0.00000,0.71953,0.00000,0.71641,0.00000,0.75547,0.03611,0.75000,0.00000,0.74766,0.00000,0.74609,0.00000,0.77812,0.03750,0.77656,0.00000,0.77422,0.00000,0.77422,0.00000,0.80234,0.05278,0.80312,0.00139,0.80312,0.00000,0.80234,0.00000,0.61324,0.73043,0.9998,0.81082,0.62196,0.9689,0.75495,0.20487,0.9540,0.75345,0.31036,0.77422,0.21389,118.22,0.9549,live,0.2098,0.2502,151.21,604.33
172051.523149,80.0,0.9758,2,1,1,0.77187,0.22083,0.73281,0.20000,0.70703,0.14444,0.69922,0.08889,0.68750,0.05000,0.72734,0.05972,0.71719,0.00000,0.71172,0.00000,0.70937,0.00000,0.75156,0.04444,0.74297,0.00000,0.73828,0.00000,0.73672,0.00000,0.77422,0.04583,0.76953,0.00000,0.76719,0.00000,0.76641,0.00000,0.79844,0.05972,0.79766,0.00417,0.79688,0.00000,0.79609,0.00000,0.61283,0.72832,0.9998,0.80828,0.62017,0.9662,0.75283,0.20256,0.9578,0.75713,0.29246,0.77187,0.22083,117.69,0.9597,live,0.2201,0.2674,164.88,616.55
172051.596042,80.0,0.0730,2,2,0,0.77031,0.23194,0.72969,0.21250,0.70234,0.15556,0.69297,0.09722,0.68047,0.05972,0.72422,0.07222,0.71406,0.01389,0.70781,0.00000,0.70312,0.00000,0.74766,0.05694,0.73906,0.00000,0.73438,0.00000,0.73125,0.00000,0.77031,0.05556,0.76406,0.00000,0.76094,0.00000,0.75938,0.00000,0.79453,0.06806,0.79219,0.01389,0.78984,0.00000,0.78750,0.00000,0.61285,0.73319,0.9998,0.80766,0.63267,0.9655,0.75528,0.21432,0.9618,0.75977,0.28035,0.77031,0.23194,117.65,0.9528,live,0.2263,0.2545,159.61,627.27
172051.661868,80.0,0.1608,2,2,0,0.76641,0.24583,0.72344,0.22917,0.69531,0.17361,0.68594,0.11528,0.67188,0.07500,0.71719,0.08889,0.70391,0.02639,0.69609,0.00000,0.68906,0.00000,0.74141,0.07222,0.73047,0.00417,0.72422,0.00000,0.71953,0.00000,0.76484,0.07222,0.75703,0.00417,0.75313,0.00000,0.74922,0.00000,0.78906,0.08194,0.78594,0.02639,0.78281,0.00000,0.77969,0.00000,0.61128,0.72944,0.9998,0.80678,0.63224,0.9613,0.75447,0.21826,0.9647,0.76110,0.27345,0.76641,0.24583,118.01,0.9529,live,0.2263,0.2296,146.23,636.97
172051.723284,80.0,0.2427,2,2,0,0.75781,0.27500,0.71562,0.25417,0.68594,0.20278,0.67422,0.15139,0.66016,0.10972,0.70469,0.11806,0.69141,0.05694,0.68047,0.02083,0.67031,0.00000,0.72813,0.10278,0.71641,0.03333,0.70625,0.00000,0.69688,0.00000,0.75156,0.10417,0.74375,0.03750,0.73750,0.00000,0.72969,0.00000,0.77656,0.12083,0.77656,0.07222,0.77187,0.04306,0.76562,0.01389,0.61159,0.73077,0.9998,0.80884,0.63550,0.9625,0.75245,0.22861,0.9681,0.76044,0.27376,0.75781,0.27500,116.79,0.9533,live,0.2263,0.2268,146.23,644.62
172051.792080,80.0,0.3344,2,2,0,0.74375,0.33472,0.70156,0.31667,0.66953,0.26667,0.65391,0.21944,0.63672,0.18472,0.68672,0.18472,0.67031,0.12778,0.65859,0.10139,0.64687,0.08056,0.71016,0.17083,0.69609,0.10417,0.68437,0.07639,0.67266,0.05972,0.73359,0.17361,0.72344,0.10972,0.71172,0.08194,0.69922,0.06667,0.76016,0.18750,0.75938,0.13194,0.75313,0.11250,0.74531,0.10278,0.61154,0.73282,0.9998,0.81045,0.63795,0.9608,0.72844,0.26331,0.9709,0.75710,0.28595,0.74375,0.33472,114.51,0.8869,live,0.2196,0.1891,122.85,649.71
172051.860837,80.0,0.4261,2,2,0,0.72891,0.42500,0.68828,0.42917,0.65000,0.40139,0.62578,0.36528,0.60469,0.33889,0.65000,0.31667,0.63203,0.25278,0.62344,0.23750,0.61719,0.25139,0.66953,0.29583,0.65391,0.23333,0.65000,0.23194,0.64766,0.25972,0.69375,0.28889,0.68672,0.24167,0.68828,0.25694,0.68828,0.28889,0.71953,0.29167,0.71953,0.24167,0.71641,0.24583,0.71172,0.26806,0.61157,0.73266,0.9998,0.81334,0.65372,0.9616,0.70144,0.33393,0.9736,0.72891,0.42500,0.72891,0.42500,108.82,0.7957,live,0.2124,0.1794,116.64,650.09
