timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
172116.760240,80.0,0.0000,2,1,1,0.65078,0.51250,0.61641,0.54722,0.57891,0.54444,0.55156,0.52917,0.52656,0.52778,0.56250,0.50000,0.53125,0.49444,0.51016,0.50139,0.49219,0.51250,0.56953,0.47917,0.53594,0.47222,0.51328,0.48472,0.49531,0.50139,0.58359,0.46250,0.55078,0.45139,0.53047,0.46250,0.51406,0.47778,0.60156,0.45139,0.57891,0.44583,0.56172,0.45417,0.54688,0.46528,0.61472,0.72035,0.9997,0.82669,0.62415,0.9766,0.60899,0.49774,0.9360,0.65774,0.47235,0.65078,0.51250,89.49,0.9871,live,0.1291,0.1799,102.53,569.90
172116.825043,80.0,0.0859,2,1,1,0.65547,0.50278,0.62109,0.53611,0.58281,0.53194,0.55625,0.51806,0.53281,0.51389,0.56641,0.48611,0.53438,0.47917,0.51328,0.48611,0.49531,0.49861,0.57422,0.46667,0.54063,0.45972,0.51797,0.47222,0.49922,0.48889,0.58828,0.45278,0.55547,0.43889,0.53516,0.44722,0.51797,0.46250,0.60703,0.44306,0.58359,0.43194,0.56641,0.43611,0.55078,0.44444,0.61458,0.71839,0.9997,0.82552,0.62564,0.9774,0.60924,0.49354,0.9271,0.65728,0.47844,0.65547,0.50278,89.46,0.9844,live,0.1345,0.1592,90.08,565.92
172116.889081,80.0,0.1713,2,1,1,0.66016,0.48333,0.62500,0.51111,0.58672,0.50417,0.56016,0.48889,0.53516,0.48194,0.57266,0.45278,0.54141,0.44167,0.52031,0.45139,0.50391,0.46250,0.57969,0.43194,0.54531,0.41667,0.52187,0.43056,0.50391,0.45000,0.59297,0.41806,0.55859,0.40139,0.53594,0.41528,0.51797,0.43333,0.61172,0.40833,0.58750,0.40139,0.56875,0.40833,0.55156,0.41944,0.61456,0.72120,0.9996,0.82181,0.63045,0.9777,0.60946,0.46841,0.9296,0.65786,0.47942,0.66016,0.48333,91.29,0.9804,live,0.1393,0.1609,90.73,563.74
172116.958296,80.0,0.2636,2,1,1,0.66953,0.45139,0.63281,0.47500,0.59297,0.46111,0.56797,0.44306,0.54609,0.42917,0.58203,0.40278,0.55000,0.38750,0.53047,0.39167,0.51328,0.40278,0.59297,0.38611,0.55937,0.36667,0.53672,0.37500,0.51719,0.39028,0.61016,0.37500,0.57891,0.35278,0.55781,0.35972,0.53984,0.37361,0.63203,0.36806,0.60859,0.35000,0.59062,0.35000,0.57344,0.35694,0.61401,0.71764,0.9996,0.81888,0.60777,0.9787,0.61442,0.42550,0.9151,0.66019,0.47381,0.66953,0.45139,92.89,0.9773,live,0.1393,0.1369,77.09,562.97
172117.026229,80.0,0.3541,2,1,1,0.68281,0.41528,0.64375,0.43056,0.60625,0.41250,0.58047,0.38750,0.55625,0.37222,0.59453,0.34861,0.56563,0.32639,0.54688,0.32222,0.52891,0.32500,0.60703,0.33056,0.57891,0.30417,0.55781,0.30417,0.53828,0.31250,0.62578,0.31944,0.59844,0.29028,0.57969,0.28889,0.56094,0.29583,0.64922,0.31389,0.62891,0.28889,0.61328,0.28333,0.59688,0.28611,0.61654,0.71987,0.9996,0.81945,0.62151,0.9787,0.63915,0.37296,0.9211,0.66472,0.46210,0.68281,0.41528,99.10,0.9743,live,0.1338,0.1091,61.83,566.77
172117.092647,80.0,0.4427,2,1,1,0.69531,0.37778,0.65625,0.38611,0.62031,0.35972,0.59844,0.32778,0.57422,0.30833,0.61172,0.29028,0.58437,0.25972,0.56641,0.25278,0.55000,0.25139,0.62656,0.27222,0.59844,0.23472,0.57891,0.22778,0.56172,0.22917,0.64609,0.26250,0.61797,0.22361,0.59844,0.21389,0.57969,0.21389,0.67031,0.25833,0.65078,0.22361,0.63516,0.21250,0.61875,0.20972,0.61833,0.72023,0.9997,0.81839,0.62181,0.9755,0.67251,0.33761,0.9283,0.67084,0.44524,0.69531,0.37778,102.66,0.9642,live,0.1246,0.0826,47.28,572.68
172117.158785,80.0,0.5309,2,1,1,0.70781,0.34583,0.66641,0.34583,0.63281,0.31806,0.61250,0.28194,0.59062,0.25556,0.62891,0.24028,0.60391,0.20833,0.58828,0.19722,0.57188,0.19028,0.64453,0.22222,0.62031,0.18472,0.60313,0.17083,0.58516,0.16389,0.66563,0.21250,0.64219,0.17361,0.62578,0.15972,0.60781,0.15139,0.69141,0.21111,0.67578,0.17639,0.66250,0.16111,0.64766,0.15278,0.61793,0.72281,0.9997,0.81818,0.62172,0.9736,0.69536,0.31298,0.9350,0.67823,0.42536,0.70781,0.34583,107.17,0.9649,live,0.1168,0.0813,47.26,581.12
172117.224515,80.0,0.6185,2,1,1,0.72109,0.31806,0.67812,0.31944,0.64453,0.28750,0.62500,0.24861,0.60313,0.22361,0.64453,0.21111,0.61953,0.17639,0.60469,0.16250,0.58984,0.15139,0.66094,0.19028,0.63672,0.14861,0.61953,0.13194,0.60234,0.12083,0.68281,0.18194,0.66016,0.13611,0.64453,0.11806,0.62734,0.10694,0.70859,0.18056,0.69609,0.14167,0.68516,0.12222,0.67109,0.10972,0.61762,0.72480,0.9997,0.81568,0.62753,0.9709,0.70667,0.29091,0.9409,0.68680,0.40390,0.72109,0.31806,107.45,0.9711,live,0.1168,0.1125,66.21,588.75
172117.294860,80.0,0.7123,2,1,1,0.72891,0.30694,0.68672,0.30556,0.65391,0.27083,0.63516,0.22917,0.61328,0.20278,0.65469,0.19583,0.63203,0.15556,0.61797,0.14028,0.60313,0.12917,0.67266,0.17361,0.65078,0.12778,0.63438,0.10833,0.61719,0.09583,0.69531,0.16528,0.67578,0.11806,0.66016,0.10000,0.64219,0.08750,0.72109,0.16667,0.71094,0.12639,0.70078,0.10833,0.68750,0.09444,0.61739,0.72533,0.9997,0.81506,0.62769,0.9681,0.71154,0.28344,0.9462,0.69522,0.38451,0.72891,0.30694,108.31,0.9459,live,0.1168,0.1406,83.83,596.08
172117.358825,80.0,0.7976,2,1,1,0.73281,0.30278,0.69063,0.30000,0.65859,0.26667,0.63984,0.22361,0.61797,0.19444,0.66016,0.19028,0.63828,0.15139,0.62422,0.13472,0.60938,0.12083,0.67812,0.16944,0.65625,0.12361,0.64141,0.10417,0.62500,0.09028,0.69922,0.15972,0.68047,0.11250,0.66563,0.09444,0.64844,0.08194,0.72500,0.15972,0.71484,0.11944,0.70469,0.10000,0.69141,0.08750,0.61741,0.72583,0.9997,0.81508,0.63100,0.9638,0.71265,0.27750,0.9508,0.70274,0.36816,0.73281,0.30278,107.87,0.9603,live,0.1254,0.1644,99.01,602.22
