timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
172250.006994,80.0,0.0000,3,1,1,0.67031,0.22222,0.63438,0.21111,0.61250,0.17500,0.60625,0.12639,0.61016,0.09028,0.63125,0.12917,0.62109,0.08472,0.61172,0.05694,0.60313,0.03333,0.64609,0.11111,0.63594,0.06250,0.62500,0.03333,0.61406,0.00972,0.66172,0.10139,0.65078,0.05139,0.63984,0.02361,0.62813,0.00278,0.67812,0.09722,0.67266,0.05556,0.66328,0.03056,0.65312,0.01111,0.61298,0.73252,0.9997,0.80183,0.59857,0.9359,0.67632,0.23236,0.9855,0.72673,0.36085,0.67031,0.22222,81.05,0.9429,live,0.4096,0.4963,268.51,540.99
172250.104313,80.0,0.1283,3,1,1,0.66719,0.22083,0.63047,0.21667,0.60547,0.18056,0.59844,0.13333,0.60234,0.09861,0.62422,0.12778,0.61250,0.08472,0.60234,0.05694,0.59375,0.03333,0.63984,0.10833,0.62734,0.05972,0.61562,0.02778,0.60391,0.00278,0.65625,0.09861,0.64375,0.05139,0.63125,0.02361,0.61797,0.00694,0.67422,0.09444,0.66719,0.05139,0.65703,0.02778,0.64453,0.01250,0.61561,0.73301,0.9997,0.80573,0.59456,0.9381,0.67307,0.22814,0.9863,0.71482,0.33285,0.66719,0.22083,83.68,0.9135,live,0.4270,0.5063,271.55,536.32
172250.173052,80.0,0.2200,3,1,1,0.67188,0.24028,0.63281,0.23611,0.60781,0.19722,0.60078,0.14722,0.60156,0.11111,0.62578,0.14028,0.61328,0.09306,0.60313,0.06528,0.59375,0.04306,0.64219,0.12083,0.62891,0.06944,0.61641,0.03889,0.60313,0.01667,0.65859,0.11111,0.64609,0.05833,0.63438,0.03056,0.62187,0.01111,0.67734,0.10694,0.66953,0.06111,0.65938,0.03750,0.64609,0.01944,0.61578,0.73337,0.9997,0.81377,0.60191,0.9400,0.67676,0.23696,0.9874,0.70623,0.31433,0.67188,0.24028,88.40,0.8995,live,0.4381,0.4889,261.84,535.61
172250.235711,80.0,0.3035,3,1,1,0.67500,0.28611,0.63828,0.28611,0.60938,0.24722,0.59844,0.19861,0.59922,0.15833,0.62656,0.17917,0.61172,0.12917,0.59922,0.10000,0.58828,0.07778,0.64375,0.15972,0.62813,0.10417,0.61484,0.07361,0.60234,0.05000,0.66172,0.15139,0.64766,0.09583,0.63516,0.06528,0.62266,0.04306,0.68203,0.15000,0.67422,0.10139,0.66406,0.07639,0.65234,0.05972,0.62470,0.73361,0.9997,0.83150,0.61570,0.9434,0.67882,0.24647,0.9886,0.69999,0.30869,0.67500,0.28611,92.68,0.9199,live,0.4381,0.4264,229.41,538.07
172250.306652,80.0,0.3981,3,1,1,0.66797,0.35556,0.63359,0.35694,0.60781,0.32222,0.59609,0.28194,0.59141,0.24583,0.61797,0.24167,0.60391,0.19444,0.59219,0.17639,0.58125,0.17083,0.63594,0.22222,0.62266,0.16528,0.61172,0.14444,0.60234,0.14583,0.65547,0.21944,0.64609,0.16111,0.63594,0.14167,0.62656,0.14306,0.67969,0.22778,0.67266,0.18194,0.66406,0.16667,0.65547,0.16667,0.63537,0.73224,0.9997,0.84939,0.68603,0.9460,0.68489,0.33058,0.9895,0.69358,0.31806,0.66797,0.35556,95.31,0.9323,live,0.4238,0.3584,194.31,542.12
172250.376098,80.0,0.4907,3,1,1,0.68750,0.50556,0.65469,0.51667,0.61797,0.49306,0.59609,0.46111,0.59297,0.42639,0.61641,0.39306,0.59922,0.32083,0.58516,0.33194,0.58516,0.36389,0.63359,0.37639,0.61797,0.29306,0.60547,0.31250,0.60938,0.35000,0.65391,0.36806,0.63828,0.29306,0.62734,0.31528,0.63047,0.35000,0.67656,0.36806,0.66406,0.32361,0.65547,0.33472,0.65859,0.35972,0.63510,0.73316,0.9997,0.87228,0.72188,0.9485,0.68142,0.45621,0.9902,0.69237,0.35556,0.68750,0.50556,104.17,0.9882,live,0.3991,0.2869,158.37,552.07
172250.474130,80.0,0.6214,3,1,1,0.71562,0.69167,0.66172,0.71389,0.61719,0.71528,0.58672,0.70694,0.57266,0.68889,0.61484,0.58750,0.58672,0.59444,0.57812,0.64028,0.57969,0.67500,0.63438,0.58194,0.60313,0.60417,0.59609,0.65556,0.59922,0.68750,0.65547,0.59583,0.62813,0.61250,0.62031,0.66250,0.62187,0.69861,0.67734,0.62222,0.65625,0.63333,0.64766,0.66667,0.64609,0.69583,0.63486,0.72895,0.9997,0.89295,0.74709,0.9524,0.67840,0.69378,0.9860,0.69702,0.42278,0.71562,0.69167,108.41,0.9927,live,0.3602,0.1826,102.94,563.88
172250.537873,80.0,0.7064,3,1,1,0.72891,0.73194,0.67109,0.77500,0.63281,0.78472,0.60703,0.79167,0.58750,0.79861,0.61328,0.68056,0.58047,0.72500,0.56797,0.77639,0.55937,0.82083,0.63438,0.67500,0.60156,0.73056,0.58672,0.79444,0.57812,0.84167,0.65938,0.68750,0.62813,0.73472,0.61328,0.79444,0.60703,0.84306,0.68437,0.71528,0.66016,0.75417,0.64687,0.79722,0.63828,0.83472,0.63414,0.74583,0.9997,0.89828,0.75167,0.9555,0.68045,0.76650,0.9847,0.70340,0.48461,0.72891,0.73194,108.23,0.9926,live,0.3374,0.2335,134.09,574.14
172250.605965,80.0,0.7972,3,1,1,0.72109,0.76250,0.67031,0.79861,0.63359,0.81111,0.60781,0.82222,0.58594,0.83750,0.61094,0.73056,0.57734,0.78056,0.56250,0.82917,0.55547,0.87222,0.63047,0.72639,0.59297,0.78194,0.57812,0.84028,0.56953,0.88611,0.65391,0.73750,0.61953,0.78889,0.60547,0.84861,0.60000,0.89444,0.67812,0.76389,0.65312,0.80694,0.64141,0.85278,0.63438,0.88889,0.63384,0.75576,0.9997,0.90294,0.76187,0.9571,0.69514,0.79249,0.9785,0.70694,0.54019,0.72109,0.76250,101.51,0.9786,live,0.3303,0.2981,172.39,578.33
172250.671793,80.0,0.8850,3,1,1,0.71641,0.77500,0.67031,0.80556,0.63281,0.82083,0.60625,0.83472,0.58516,0.85694,0.61172,0.75139,0.57891,0.80139,0.56328,0.84861,0.55703,0.89583,0.63047,0.75000,0.59297,0.80278,0.57578,0.86250,0.56719,0.90972,0.65547,0.76389,0.62031,0.80694,0.60391,0.86806,0.59766,0.91667,0.68125,0.78889,0.65703,0.82222,0.64531,0.87222,0.63984,0.91528,0.63399,0.77640,0.9997,0.90096,0.76293,0.9596,0.69466,0.81186,0.9750,0.70883,0.58715,0.71641,0.77500,96.41,0.9871,live,0.3303,0.3502,202.54,578.35
