timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
172415.215301,80.0,0.0000,3,1,1,0.65469,0.55278,0.61406,0.51667,0.59062,0.46111,0.58516,0.40833,0.58516,0.36111,0.61875,0.38611,0.60781,0.33611,0.59609,0.30972,0.58359,0.28750,0.63750,0.37778,0.62734,0.31944,0.61484,0.29444,0.60078,0.28333,0.65703,0.38194,0.65000,0.32222,0.63906,0.29861,0.62422,0.29167,0.67969,0.39583,0.67578,0.34861,0.66484,0.32500,0.65078,0.31250,0.61932,0.76690,0.9996,0.77665,0.96401,0.9292,0.66649,0.53809,0.9950,0.68053,0.61793,0.65469,0.55278,113.04,0.9837,live,0.1135,0.1543,101.12,655.44
172415.313951,80.0,0.1309,3,1,1,0.65391,0.55139,0.61484,0.51528,0.59141,0.46111,0.58437,0.40694,0.58594,0.35972,0.61875,0.38472,0.60703,0.33472,0.59531,0.30972,0.58125,0.28889,0.63750,0.37639,0.62734,0.31667,0.61484,0.29306,0.60078,0.28472,0.65703,0.38056,0.65000,0.31944,0.63906,0.29722,0.62344,0.29306,0.67969,0.39444,0.67578,0.34722,0.66484,0.32361,0.65078,0.31389,0.61691,0.76775,0.9996,0.77361,0.96528,0.9310,0.66728,0.54219,0.9950,0.67521,0.60462,0.65391,0.55139,112.98,0.9839,live,0.1229,0.1657,109.07,658.13
172415.381303,80.0,0.2207,3,1,1,0.65469,0.55694,0.61484,0.52222,0.59062,0.46944,0.58359,0.41528,0.58594,0.36944,0.61875,0.39306,0.60703,0.34306,0.59609,0.31806,0.58359,0.30000,0.63750,0.38472,0.62656,0.32500,0.61406,0.30278,0.60000,0.29722,0.65781,0.38750,0.65078,0.32500,0.63984,0.30417,0.62500,0.30278,0.68047,0.40278,0.67656,0.35417,0.66563,0.33056,0.65078,0.32222,0.61618,0.76812,0.9996,0.77143,0.96178,0.9318,0.66508,0.53903,0.9952,0.67110,0.59509,0.65469,0.55694,111.92,0.9823,live,0.1307,0.1661,109.55,659.74
172415.446459,80.0,0.3076,3,1,1,0.65469,0.56667,0.61562,0.53472,0.59062,0.48056,0.58281,0.42500,0.58594,0.37917,0.61875,0.40278,0.60859,0.35278,0.59688,0.32917,0.58437,0.31389,0.63828,0.39444,0.62734,0.33611,0.61484,0.31389,0.60078,0.31111,0.65859,0.39861,0.65078,0.33611,0.63984,0.31667,0.62500,0.31528,0.68281,0.41389,0.67812,0.36528,0.66719,0.34444,0.65234,0.33750,0.61649,0.76814,0.9997,0.77176,0.96304,0.9267,0.66629,0.54857,0.9948,0.66782,0.58940,0.65469,0.56667,112.64,0.9839,live,0.1355,0.1574,104.15,661.67
172415.512933,80.0,0.3962,3,1,1,0.65547,0.58194,0.61562,0.55000,0.59062,0.49722,0.58203,0.44444,0.58594,0.39861,0.61797,0.41667,0.60703,0.36806,0.59609,0.34583,0.58281,0.33056,0.63750,0.40833,0.62656,0.35278,0.61484,0.33194,0.60078,0.32778,0.65859,0.41250,0.65156,0.35417,0.64141,0.33333,0.62734,0.33056,0.68281,0.42778,0.67891,0.38194,0.66875,0.36111,0.65469,0.35556,0.61930,0.75846,0.9997,0.77193,0.96562,0.9285,0.66703,0.55584,0.9950,0.66535,0.58791,0.65547,0.58194,113.80,0.9860,live,0.1355,0.1395,92.67,664.20
172415.579808,80.0,0.4854,3,1,1,0.65469,0.59722,0.61641,0.57222,0.58828,0.51944,0.57734,0.46667,0.58125,0.42222,0.61328,0.43750,0.60391,0.38611,0.59141,0.36667,0.57812,0.36389,0.63359,0.42778,0.62656,0.36389,0.61328,0.35000,0.60000,0.36250,0.65547,0.43194,0.65234,0.36806,0.64062,0.35556,0.62734,0.36806,0.67891,0.45000,0.67734,0.40139,0.66563,0.38472,0.65234,0.38889,0.61883,0.75912,0.9997,0.77262,0.96768,0.9252,0.66627,0.57721,0.9948,0.66322,0.58977,0.65469,0.59722,111.62,0.9906,live,0.1355,0.1176,78.18,664.87
172415.647018,80.0,0.5750,3,1,1,0.65312,0.62083,0.61719,0.59722,0.58750,0.55000,0.57578,0.50694,0.57656,0.46528,0.60469,0.46806,0.59453,0.41389,0.58125,0.40694,0.56953,0.42083,0.62578,0.45833,0.61875,0.39028,0.60469,0.38611,0.59375,0.41111,0.64922,0.46528,0.64453,0.39722,0.63359,0.39861,0.62500,0.42639,0.67500,0.48333,0.67344,0.42917,0.66250,0.42083,0.65234,0.43750,0.61902,0.75925,0.9997,0.77341,0.97652,0.9263,0.66594,0.60798,0.9950,0.66120,0.59599,0.65312,0.62083,110.49,0.9917,live,0.1282,0.0949,63.09,664.64
172415.713444,80.0,0.6636,3,1,1,0.65312,0.64444,0.61797,0.62222,0.58750,0.58194,0.57500,0.54583,0.57266,0.50972,0.60547,0.50000,0.59219,0.45000,0.57500,0.46111,0.56172,0.48472,0.62656,0.49444,0.61484,0.42639,0.59844,0.44306,0.58828,0.47361,0.64922,0.50000,0.64219,0.43611,0.62734,0.45417,0.61719,0.48472,0.67344,0.51944,0.67109,0.46528,0.66016,0.47083,0.65156,0.49167,0.61885,0.76587,0.9997,0.77261,0.98097,0.9268,0.66640,0.63257,0.9952,0.65958,0.60568,0.65312,0.64444,103.90,0.9948,live,0.1183,0.0734,48.40,659.69
172415.783634,80.0,0.7572,3,1,1,0.65234,0.65833,0.61719,0.63889,0.58750,0.60278,0.57266,0.57361,0.57031,0.53611,0.60625,0.52500,0.59062,0.47917,0.57422,0.49028,0.56250,0.51250,0.62656,0.51806,0.61328,0.45278,0.59609,0.46944,0.58672,0.49722,0.64844,0.52361,0.63984,0.46111,0.62344,0.48194,0.61406,0.51111,0.67344,0.54167,0.67031,0.49167,0.65703,0.50139,0.64687,0.52639,0.61884,0.76867,0.9997,0.77033,0.99179,0.9266,0.66777,0.65274,0.9953,0.65814,0.61621,0.65234,0.65833,98.50,0.9949,live,0.1069,0.0551,35.90,651.44
172415.845603,80.0,0.8398,3,1,1,0.65078,0.66667,0.61641,0.64722,0.58672,0.61111,0.57109,0.58194,0.56875,0.54861,0.60781,0.53056,0.59453,0.48333,0.57656,0.49167,0.56328,0.50694,0.62813,0.52500,0.61484,0.46250,0.59688,0.48333,0.58672,0.51250,0.65078,0.53333,0.64141,0.47222,0.62344,0.49722,0.61328,0.53056,0.67422,0.55278,0.67109,0.50556,0.65703,0.51806,0.64531,0.54167,0.61883,0.75961,0.9997,0.76674,0.99275,0.9256,0.67141,0.66952,0.9954,0.65667,0.62630,0.65078,0.66667,98.06,0.9949,live,0.0979,0.0566,36.43,643.87
