timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
168012.920277,80.0,0.0000,2,1,1,0.70078,0.55694,0.65703,0.58194,0.62344,0.57500,0.60156,0.56944,0.58125,0.56528,0.61953,0.50694,0.59141,0.52361,0.57422,0.54583,0.56016,0.57222,0.63516,0.50417,0.60625,0.52639,0.58750,0.55417,0.57266,0.58472,0.65547,0.51111,0.63281,0.53056,0.61719,0.55417,0.60313,0.57917,0.67656,0.53194,0.66719,0.55556,0.66016,0.57639,0.65391,0.59583,0.62915,0.62129,0.9999,0.83053,0.66985,0.9755,0.67573,0.57597,0.9880,0.69570,0.49068,0.70078,0.55694,78.32,0.9956,live,0.2310,0.3000,151.30,504.39
168012.985044,80.0,0.0858,2,1,1,0.70234,0.54722,0.65859,0.56944,0.62500,0.56250,0.60234,0.55694,0.58047,0.55278,0.62187,0.49583,0.59531,0.51528,0.57812,0.53750,0.56484,0.56667,0.63828,0.49583,0.61094,0.51944,0.59297,0.54583,0.57812,0.57500,0.65938,0.50556,0.63594,0.52639,0.62031,0.54444,0.60703,0.56528,0.68047,0.52639,0.66875,0.55000,0.66172,0.56806,0.65547,0.58333,0.62903,0.62087,0.9999,0.83227,0.65564,0.9770,0.68077,0.56932,0.9871,0.69703,0.50199,0.70234,0.54722,77.33,0.9944,live,0.2415,0.2892,144.45,499.55
168013.050402,80.0,0.1729,2,1,1,0.70312,0.53472,0.65859,0.55694,0.62266,0.54167,0.59844,0.52917,0.57734,0.51806,0.62344,0.48333,0.59688,0.49583,0.58125,0.51806,0.57188,0.54444,0.63984,0.47639,0.61484,0.48889,0.60000,0.51528,0.59062,0.54444,0.66172,0.48194,0.64062,0.49167,0.62578,0.51250,0.61484,0.53611,0.68516,0.50000,0.67734,0.51111,0.67188,0.52361,0.66641,0.53611,0.63104,0.62411,0.9999,0.83103,0.65191,0.9776,0.68366,0.55441,0.9874,0.69825,0.50853,0.70312,0.53472,78.41,0.9952,live,0.2522,0.3009,149.28,496.05
168013.116463,80.0,0.2610,2,1,1,0.70156,0.49583,0.66016,0.51389,0.62422,0.50278,0.59922,0.49722,0.57578,0.49306,0.62813,0.43472,0.60234,0.43611,0.58750,0.45417,0.57891,0.47917,0.64453,0.42639,0.61953,0.42222,0.60469,0.44861,0.59688,0.47778,0.66563,0.42917,0.64531,0.42500,0.63203,0.44167,0.62344,0.46528,0.68984,0.44444,0.68516,0.44583,0.68047,0.45833,0.67500,0.47083,0.63247,0.61692,0.9999,0.83233,0.64431,0.9780,0.68604,0.49642,0.9880,0.69891,0.50599,0.70156,0.49583,77.88,0.9935,live,0.2522,0.2771,136.52,492.60
168013.187064,80.0,0.3551,2,1,1,0.70391,0.44028,0.65781,0.45000,0.62344,0.43472,0.59688,0.42083,0.57422,0.40694,0.63125,0.37083,0.60938,0.35000,0.59531,0.36250,0.58750,0.38472,0.64922,0.36389,0.62969,0.33056,0.61406,0.34722,0.60859,0.37222,0.67031,0.36667,0.65547,0.33611,0.64219,0.34306,0.63828,0.35972,0.69297,0.38333,0.68828,0.36389,0.68203,0.36250,0.67891,0.36528,0.63253,0.60863,0.9999,0.83008,0.62892,0.9778,0.68921,0.42056,0.9890,0.69991,0.49285,0.70391,0.44028,79.36,0.9977,live,0.2467,0.2216,108.70,490.63
168013.252080,80.0,0.4418,2,1,1,0.70625,0.38194,0.66094,0.38194,0.62734,0.36250,0.60234,0.34028,0.57969,0.32639,0.63125,0.30278,0.61172,0.26667,0.59531,0.26944,0.58516,0.28889,0.64687,0.29028,0.63125,0.24444,0.61641,0.24861,0.61094,0.26944,0.66719,0.29028,0.65469,0.24167,0.64297,0.24028,0.63828,0.25278,0.69063,0.30139,0.68828,0.26528,0.68125,0.25417,0.67734,0.25278,0.63206,0.60889,0.9999,0.81323,0.59361,0.9774,0.68642,0.33223,0.9899,0.70118,0.47067,0.70625,0.38194,87.42,0.9845,live,0.2239,0.1202,59.46,494.69
168013.318869,80.0,0.5309,2,1,1,0.70625,0.32500,0.66094,0.31528,0.62734,0.29167,0.60547,0.26389,0.58516,0.24444,0.62969,0.22778,0.61484,0.19028,0.60000,0.18611,0.58906,0.19722,0.64609,0.21250,0.63281,0.16806,0.61875,0.16250,0.60938,0.17639,0.66641,0.20833,0.65547,0.16250,0.64531,0.15694,0.63828,0.16944,0.69141,0.21528,0.68750,0.18333,0.68125,0.17500,0.67500,0.17917,0.63464,0.60756,0.9999,0.81194,0.56978,0.9768,0.69049,0.28329,0.9908,0.70219,0.44154,0.70625,0.32500,98.24,0.9769,live,0.2049,0.1180,59.73,506.06
168013.383316,80.0,0.6168,2,1,1,0.69844,0.27778,0.65703,0.26667,0.62656,0.24167,0.60703,0.21111,0.58672,0.18889,0.62813,0.17500,0.61094,0.14028,0.59766,0.13194,0.58594,0.13611,0.64375,0.15694,0.62813,0.11250,0.61719,0.10417,0.60859,0.11389,0.66328,0.15139,0.64922,0.10139,0.64687,0.10139,0.64609,0.12083,0.68672,0.15417,0.68125,0.11250,0.67734,0.10556,0.67500,0.11806,0.63537,0.60775,0.9999,0.80431,0.52752,0.9762,0.69047,0.24734,0.9916,0.70144,0.40878,0.69844,0.27778,98.73,0.9634,live,0.1933,0.1408,72.73,516.42
168013.452837,80.0,0.7095,2,1,1,0.69063,0.24306,0.65078,0.23611,0.62187,0.20833,0.60313,0.17639,0.58516,0.15278,0.62422,0.14028,0.60625,0.10833,0.59375,0.10000,0.58281,0.10278,0.63984,0.12500,0.62266,0.08056,0.61016,0.07083,0.59844,0.07639,0.65938,0.11806,0.64531,0.06806,0.63594,0.05694,0.62734,0.07083,0.68203,0.11806,0.67656,0.07222,0.67031,0.06111,0.66250,0.07361,0.63532,0.60779,0.9999,0.80483,0.50797,0.9759,0.68964,0.22443,0.9923,0.69928,0.37564,0.69063,0.24306,96.52,0.9744,live,0.1933,0.1833,96.04,523.94
168013.519297,80.0,0.7981,2,1,1,0.68594,0.22639,0.64844,0.22222,0.61953,0.19444,0.60234,0.15972,0.58437,0.13472,0.62266,0.12639,0.60391,0.09444,0.59219,0.08472,0.58047,0.08472,0.63828,0.10972,0.62109,0.06667,0.60859,0.05556,0.59609,0.05556,0.65703,0.10278,0.64453,0.05556,0.63359,0.04167,0.62266,0.04722,0.67891,0.10278,0.67344,0.05694,0.66719,0.04722,0.65859,0.05556,0.63522,0.60564,0.9999,0.80357,0.51029,0.9760,0.68754,0.20753,0.9929,0.69661,0.34579,0.68594,0.22639,93.91,0.9627,live,0.1985,0.2222,117.47,528.68
168013.585539,80.0,0.8864,2,1,1,0.68437,0.22083,0.64766,0.22083,0.61953,0.19028,0.60313,0.15417,0.58437,0.13194,0.62266,0.12083,0.60391,0.08750,0.59141,0.08056,0.57969,0.08056,0.63828,0.10556,0.62031,0.06111,0.60625,0.05278,0.59375,0.05694,0.65625,0.09861,0.64219,0.05000,0.63047,0.03889,0.61953,0.04861,0.67734,0.10000,0.67109,0.05278,0.66328,0.03889,0.65391,0.04722,0.63507,0.60528,0.9999,0.80076,0.51029,0.9746,0.68733,0.20563,0.9934,0.69416,0.32080,0.68437,0.22083,91.94,0.9720,live,0.2087,0.2551,135.56,531.44
