timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
168086.718958,80.0,0.0000,2,1,1,0.69688,0.42083,0.64219,0.43750,0.59453,0.40556,0.56563,0.37500,0.53828,0.35694,0.59844,0.30556,0.55781,0.28611,0.52891,0.30972,0.50703,0.34583,0.62031,0.29583,0.57734,0.26944,0.54375,0.30833,0.52031,0.34861,0.64687,0.30000,0.61016,0.27778,0.57734,0.31250,0.55547,0.34722,0.67734,0.31528,0.64844,0.29583,0.62656,0.31806,0.61094,0.34583,0.63975,0.59742,0.9999,0.86733,0.61636,0.9549,0.65974,0.37068,0.9916,0.70268,0.36277,0.69688,0.42083,116.30,0.9990,live,0.1250,0.1393,105.70,758.96
168086.785820,80.0,0.0887,2,1,1,0.69766,0.41944,0.64375,0.43611,0.59609,0.40556,0.56875,0.37639,0.54375,0.35833,0.59844,0.31250,0.55781,0.29167,0.52969,0.31389,0.50859,0.35000,0.62031,0.30139,0.57578,0.27361,0.54219,0.31111,0.51797,0.35000,0.64687,0.30278,0.60938,0.28194,0.57656,0.31667,0.55469,0.35278,0.67656,0.31667,0.64766,0.29861,0.62656,0.31944,0.61094,0.34583,0.64167,0.60211,0.9999,0.87438,0.61739,0.9566,0.66790,0.38269,0.9915,0.70168,0.37411,0.69766,0.41944,114.45,0.9984,live,0.1250,0.1442,108.20,750.29
168086.855028,80.0,0.1809,2,1,1,0.69531,0.42222,0.64219,0.43889,0.59531,0.40694,0.56797,0.37639,0.54375,0.36111,0.59844,0.31111,0.55781,0.28472,0.52891,0.30694,0.50703,0.34306,0.62031,0.30000,0.57500,0.27083,0.53984,0.30972,0.51562,0.35139,0.64687,0.30278,0.60703,0.27639,0.57344,0.31389,0.55000,0.35417,0.67656,0.31806,0.64609,0.29861,0.62344,0.32222,0.60703,0.35000,0.64167,0.60189,0.9998,0.87059,0.61912,0.9551,0.66357,0.38320,0.9911,0.70040,0.38373,0.69531,0.42222,114.17,0.9992,live,0.1250,0.1391,103.30,742.45
168086.918603,80.0,0.2657,2,1,1,0.69609,0.41806,0.64375,0.43333,0.59766,0.40000,0.56953,0.36667,0.54219,0.35139,0.60000,0.30000,0.55937,0.27500,0.53047,0.29722,0.50859,0.33194,0.62109,0.29028,0.57656,0.26250,0.54219,0.30000,0.51875,0.33889,0.64844,0.29444,0.61016,0.26806,0.57656,0.30278,0.55391,0.33750,0.67891,0.30972,0.64922,0.29167,0.62656,0.31389,0.61094,0.34028,0.64145,0.60317,0.9999,0.87114,0.62086,0.9538,0.66367,0.38147,0.9907,0.69954,0.39060,0.69609,0.41806,116.19,0.9990,live,0.1250,0.1251,92.21,737.02
168086.984254,80.0,0.3532,2,1,1,0.69766,0.41250,0.64687,0.41806,0.60234,0.38194,0.57500,0.34583,0.54922,0.32222,0.60469,0.29028,0.56797,0.24861,0.53984,0.26528,0.51797,0.29722,0.62422,0.27917,0.58203,0.24167,0.54922,0.27083,0.52578,0.30417,0.65000,0.27917,0.61328,0.24444,0.58281,0.27222,0.56016,0.30417,0.67969,0.29167,0.65078,0.26528,0.62891,0.28611,0.61328,0.31111,0.64013,0.60331,0.9999,0.87279,0.62080,0.9537,0.66731,0.36772,0.9905,0.69917,0.39498,0.69766,0.41250,117.09,0.9984,live,0.1250,0.1066,78.15,732.88
168087.051124,80.0,0.4424,2,1,1,0.70312,0.39306,0.65000,0.39444,0.60313,0.35000,0.57422,0.31111,0.54375,0.28889,0.60781,0.26111,0.57031,0.23333,0.54297,0.24722,0.51875,0.27361,0.62891,0.24861,0.58516,0.21250,0.55312,0.23889,0.52812,0.27222,0.65703,0.25000,0.62031,0.21389,0.58906,0.24167,0.56484,0.27361,0.68750,0.26389,0.65938,0.23056,0.63750,0.25139,0.62109,0.27917,0.64211,0.60457,0.9999,0.87341,0.62104,0.9539,0.66835,0.34390,0.9909,0.69996,0.39459,0.70312,0.39306,123.16,0.9986,live,0.1250,0.1065,78.15,733.61
168087.118315,80.0,0.5320,2,1,1,0.70391,0.36944,0.65312,0.36667,0.60938,0.32222,0.58047,0.28333,0.55000,0.25139,0.61562,0.22917,0.57891,0.19028,0.55000,0.19722,0.52500,0.22083,0.63672,0.21806,0.59531,0.17778,0.56250,0.20278,0.53828,0.23472,0.66328,0.21806,0.62969,0.17500,0.59766,0.19861,0.57344,0.23194,0.69453,0.22917,0.66641,0.19306,0.64141,0.20833,0.62187,0.23333,0.64440,0.61651,0.9999,0.87340,0.62210,0.9545,0.68697,0.32752,0.9914,0.70075,0.38956,0.70391,0.36944,123.28,0.9978,live,0.1140,0.0641,47.08,734.33
168087.188990,80.0,0.6262,2,1,1,0.70625,0.35000,0.65703,0.34306,0.61406,0.29444,0.58828,0.25278,0.56016,0.21806,0.62109,0.20694,0.58672,0.15972,0.55859,0.16667,0.53359,0.18611,0.64141,0.19306,0.60156,0.14306,0.57031,0.16667,0.54609,0.19583,0.66797,0.19167,0.63359,0.13750,0.60313,0.16111,0.57969,0.19028,0.69844,0.20139,0.67344,0.15694,0.65000,0.16806,0.63047,0.19028,0.64439,0.62318,0.9999,0.86972,0.62199,0.9539,0.69872,0.30928,0.9914,0.70185,0.38165,0.70625,0.35000,124.18,0.9961,live,0.1019,0.0465,34.23,735.62
168087.250668,80.0,0.7085,2,1,1,0.70703,0.32500,0.65938,0.31667,0.61719,0.26667,0.59297,0.22083,0.56563,0.18472,0.62266,0.17778,0.58828,0.13194,0.56094,0.13889,0.53672,0.15833,0.64453,0.16528,0.60469,0.10694,0.57500,0.12917,0.55234,0.15833,0.67188,0.16528,0.64141,0.10417,0.61328,0.12500,0.59062,0.15417,0.70469,0.17639,0.68437,0.12639,0.66250,0.13472,0.64375,0.15417,0.65284,0.62296,0.9999,0.86969,0.61858,0.9548,0.70047,0.28492,0.9917,0.70288,0.37032,0.70703,0.32500,125.87,0.9972,live,0.0919,0.0464,34.23,737.97
168087.320841,80.0,0.8020,2,1,1,0.71016,0.31250,0.66250,0.30000,0.62266,0.25139,0.59922,0.20694,0.57266,0.16944,0.62969,0.16111,0.59609,0.10972,0.56719,0.11806,0.54375,0.13750,0.65156,0.14861,0.61484,0.08056,0.58281,0.10417,0.56016,0.13472,0.67812,0.14861,0.64922,0.07778,0.61797,0.10278,0.59609,0.13611,0.70937,0.15972,0.68984,0.10417,0.66563,0.11389,0.64687,0.13750,0.65225,0.62590,0.9999,0.86424,0.61747,0.9545,0.70141,0.26215,0.9914,0.70434,0.35876,0.71016,0.31250,125.45,0.9971,live,0.0819,0.0364,26.91,739.74
