timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
168158.182475,80.0,0.0000,3,1,1,0.63125,0.28333,0.60469,0.26389,0.58984,0.22222,0.58750,0.18194,0.59141,0.15000,0.60938,0.17917,0.60313,0.14583,0.59531,0.12639,0.58672,0.11111,0.62266,0.16944,0.61719,0.12917,0.60781,0.10694,0.59766,0.09306,0.63594,0.16806,0.63203,0.12361,0.62344,0.10417,0.61250,0.09444,0.65000,0.17222,0.64844,0.13333,0.64062,0.11389,0.63047,0.10417,0.59645,0.68602,0.9998,0.72058,0.61743,0.9383,0.63999,0.29758,0.9856,0.66983,0.42150,0.63125,0.28333,74.64,0.9771,live,0.4397,0.6125,300.20,490.08
168158.248497,80.0,0.0877,3,1,1,0.62969,0.29722,0.60313,0.27639,0.58828,0.23611,0.58750,0.19583,0.58906,0.16389,0.60859,0.19306,0.60156,0.15833,0.59375,0.13750,0.58516,0.12500,0.62187,0.18472,0.61641,0.14306,0.60781,0.12083,0.59766,0.10833,0.63516,0.18333,0.63203,0.14028,0.62422,0.11944,0.61406,0.10972,0.65000,0.18889,0.64922,0.15000,0.64219,0.13194,0.63281,0.12083,0.59417,0.68968,0.9998,0.72013,0.62931,0.9400,0.64097,0.30355,0.9869,0.66180,0.39664,0.62969,0.29722,74.16,0.9771,live,0.4702,0.6088,295.06,484.66
168158.313469,80.0,0.1743,3,1,1,0.63047,0.31806,0.60313,0.29861,0.58828,0.25694,0.58672,0.21667,0.58906,0.18472,0.60781,0.21389,0.60156,0.17778,0.59297,0.15694,0.58437,0.14444,0.62187,0.20556,0.61641,0.16250,0.60781,0.14028,0.59766,0.12778,0.63516,0.20556,0.63281,0.16111,0.62500,0.13889,0.61562,0.12917,0.65000,0.21250,0.65078,0.17222,0.64375,0.15278,0.63438,0.14167,0.59358,0.68995,0.9998,0.72131,0.63293,0.9413,0.63866,0.31407,0.9880,0.65553,0.38092,0.63047,0.31806,74.04,0.9779,live,0.5013,0.6430,308.53,479.81
168158.380706,80.0,0.2639,3,1,1,0.62969,0.35417,0.60313,0.33750,0.58672,0.29583,0.58437,0.25417,0.58672,0.22361,0.60625,0.24722,0.59922,0.20694,0.59062,0.18750,0.58203,0.17639,0.62109,0.23889,0.61562,0.19028,0.60625,0.16806,0.59688,0.16111,0.63594,0.24028,0.63359,0.18889,0.62578,0.16944,0.61641,0.16667,0.65078,0.24861,0.65156,0.20417,0.64531,0.18333,0.63594,0.17778,0.58972,0.68902,0.9998,0.72319,0.66842,0.9421,0.63994,0.34737,0.9891,0.65037,0.37557,0.62969,0.35417,76.01,0.9764,live,0.5013,0.4830,230.38,476.96
168158.448305,80.0,0.3541,3,1,1,0.62578,0.40417,0.60000,0.39444,0.58203,0.35694,0.57734,0.32222,0.58125,0.29167,0.60156,0.29722,0.59609,0.24722,0.58594,0.23472,0.57812,0.24583,0.61719,0.28889,0.61641,0.22917,0.60391,0.22083,0.59453,0.24444,0.63359,0.29306,0.63281,0.23750,0.62109,0.23194,0.61484,0.25417,0.65000,0.30833,0.64844,0.26389,0.63828,0.25417,0.63125,0.26528,0.58976,0.68920,0.9998,0.72579,0.72203,0.9443,0.63804,0.40881,0.9901,0.64545,0.38129,0.62578,0.40417,76.22,0.9494,live,0.4827,0.3980,188.90,474.60
168158.516050,80.0,0.4444,3,1,1,0.62734,0.53750,0.60078,0.53056,0.57734,0.49583,0.56719,0.46528,0.56953,0.44167,0.59062,0.42361,0.58516,0.36806,0.57969,0.37778,0.57891,0.40417,0.60703,0.41944,0.60313,0.35694,0.59844,0.37639,0.59844,0.40556,0.62578,0.42222,0.62109,0.36528,0.61406,0.39306,0.61406,0.42222,0.64453,0.43056,0.64219,0.38889,0.63516,0.40694,0.63281,0.43333,0.59050,0.69090,0.9998,0.74436,0.79807,0.9452,0.63750,0.52708,0.9908,0.64183,0.41253,0.62734,0.53750,83.17,0.9901,live,0.4519,0.3117,148.83,477.53
168158.582327,80.0,0.5328,3,1,1,0.62969,0.67778,0.59766,0.67083,0.57422,0.65694,0.56094,0.64583,0.55781,0.63889,0.58047,0.57083,0.56719,0.57917,0.56094,0.61250,0.56016,0.64444,0.60156,0.57083,0.58828,0.58611,0.58125,0.62361,0.57891,0.65694,0.62266,0.58750,0.61328,0.60000,0.60625,0.63472,0.60313,0.66806,0.64062,0.61389,0.63594,0.63333,0.63047,0.65833,0.62656,0.68056,0.59411,0.68508,0.9998,0.75663,0.83343,0.9486,0.63706,0.67570,0.9912,0.63940,0.46558,0.62969,0.67778,78.89,0.9943,live,0.4125,0.2328,111.06,477.03
168158.646831,80.0,0.6188,3,1,1,0.66172,0.78472,0.62266,0.79167,0.59219,0.79861,0.57109,0.81250,0.55937,0.83333,0.58203,0.72361,0.55703,0.75694,0.55078,0.80556,0.54922,0.84444,0.60234,0.72639,0.57969,0.76528,0.56875,0.81667,0.56563,0.85556,0.62422,0.74306,0.60703,0.78889,0.59531,0.83611,0.58984,0.87083,0.64453,0.76806,0.63359,0.81667,0.62500,0.85278,0.61875,0.87639,0.60389,0.69178,0.9998,0.76859,0.86115,0.9508,0.64076,0.80004,0.9907,0.64386,0.52941,0.66172,0.78472,77.29,0.9878,live,0.3844,0.2567,122.06,475.43
168158.716170,80.0,0.7112,3,1,1,0.66953,0.81389,0.63203,0.80556,0.59609,0.82500,0.57031,0.85556,0.55469,0.88056,0.58594,0.79722,0.55937,0.83889,0.54531,0.88194,0.53516,0.91667,0.60469,0.80278,0.57812,0.85694,0.56094,0.90972,0.54844,0.95000,0.62578,0.81667,0.60313,0.87222,0.58750,0.92500,0.57656,0.96111,0.64687,0.83750,0.63125,0.89583,0.62031,0.93611,0.61172,0.96528,0.60524,0.69194,0.9998,0.77197,0.87529,0.9531,0.64457,0.84957,0.9904,0.64900,0.58631,0.66953,0.81389,76.97,0.9889,live,0.3748,0.3306,156.65,473.80
168158.783691,80.0,0.8012,3,1,1,0.65547,0.84861,0.61797,0.84722,0.58750,0.86806,0.56484,0.90278,0.55078,0.93056,0.58047,0.83333,0.55391,0.87361,0.54141,0.91389,0.53281,0.94861,0.60156,0.84028,0.57656,0.89028,0.56094,0.93750,0.55000,0.97639,0.62422,0.85694,0.60313,0.90972,0.58828,0.95556,0.57656,0.99028,0.64531,0.87778,0.63125,0.93472,0.62031,0.97361,0.61172,0.99861,0.60499,0.69230,0.9998,0.76996,0.87670,0.9544,0.64457,0.86655,0.9905,0.65029,0.63877,0.65547,0.84861,69.89,0.9711,live,0.3811,0.4102,191.66,467.26
