timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
168225.428522,80.0,0.0000,3,1,1,0.67266,0.51111,0.64687,0.47500,0.63906,0.42778,0.64453,0.38750,0.65000,0.35417,0.65781,0.38333,0.65469,0.34583,0.64687,0.32778,0.63672,0.31528,0.67109,0.38056,0.66953,0.33611,0.66094,0.31528,0.64922,0.30278,0.68281,0.38889,0.68516,0.34028,0.67734,0.31944,0.66563,0.30833,0.69531,0.40417,0.69609,0.36667,0.68984,0.34722,0.68047,0.33333,0.61474,0.71571,0.9998,0.75145,0.85514,0.9288,0.69061,0.52363,0.9967,0.68959,0.57905,0.67266,0.51111,80.13,0.9911,live,0.1420,0.1870,86.87,464.62
168225.495465,80.0,0.0889,3,1,1,0.66953,0.50833,0.64531,0.47500,0.63594,0.42778,0.63984,0.38750,0.64609,0.35556,0.65547,0.38056,0.65156,0.34167,0.64297,0.32361,0.63359,0.31111,0.66797,0.37778,0.66641,0.33194,0.65781,0.30972,0.64609,0.30000,0.68047,0.38472,0.68203,0.33750,0.67344,0.31667,0.66172,0.30694,0.69297,0.40000,0.69453,0.36528,0.68828,0.34444,0.67891,0.33194,0.61263,0.71312,0.9998,0.75103,0.83413,0.9307,0.68353,0.51071,0.9968,0.68558,0.56491,0.66953,0.50833,80.33,0.9891,live,0.1543,0.2104,98.19,466.70
168225.560364,80.0,0.1755,3,1,1,0.66875,0.51111,0.64297,0.47778,0.63359,0.43333,0.63750,0.39444,0.64297,0.36111,0.65312,0.38611,0.64844,0.34722,0.64062,0.32917,0.63047,0.31806,0.66641,0.38333,0.66328,0.33750,0.65391,0.31528,0.64219,0.30556,0.67812,0.39028,0.67891,0.34306,0.67109,0.32222,0.65938,0.31389,0.69141,0.40556,0.69297,0.37222,0.68672,0.35278,0.67656,0.34028,0.61195,0.71324,0.9998,0.75021,0.83807,0.9313,0.68071,0.51697,0.9969,0.68221,0.55415,0.66875,0.51111,79.14,0.9883,live,0.1665,0.2220,103.82,467.68
168225.631375,80.0,0.2702,3,1,1,0.66719,0.51944,0.64219,0.49028,0.63203,0.44444,0.63594,0.40417,0.64062,0.37222,0.65078,0.39583,0.64609,0.35694,0.63750,0.34028,0.62813,0.32917,0.66406,0.39306,0.66094,0.34583,0.65156,0.32500,0.64062,0.31806,0.67656,0.40000,0.67656,0.35139,0.66953,0.33056,0.65859,0.32222,0.69063,0.41667,0.69219,0.38194,0.68516,0.36250,0.67500,0.35139,0.61186,0.71210,0.9998,0.75021,0.84025,0.9316,0.67914,0.51823,0.9971,0.67921,0.54721,0.66719,0.51944,78.89,0.9888,live,0.1731,0.2029,95.03,468.36
168225.697909,80.0,0.3589,3,1,1,0.66719,0.54167,0.64141,0.51111,0.62969,0.46528,0.63203,0.42639,0.63672,0.39167,0.64844,0.41528,0.64453,0.37639,0.63516,0.35972,0.62422,0.35556,0.66250,0.41250,0.65938,0.36528,0.65000,0.34722,0.63828,0.34167,0.67578,0.41944,0.67734,0.37083,0.67031,0.35278,0.65938,0.35000,0.68984,0.43750,0.69141,0.40000,0.68516,0.38194,0.67422,0.37500,0.61180,0.70889,0.9998,0.75003,0.84219,0.9323,0.67732,0.52248,0.9972,0.67680,0.54610,0.66719,0.54167,80.77,0.9895,live,0.1731,0.1813,85.26,470.31
168225.760827,80.0,0.4428,3,1,1,0.66641,0.56806,0.64219,0.54167,0.62656,0.49444,0.62734,0.45417,0.63516,0.42222,0.64375,0.44444,0.63984,0.40000,0.62969,0.38889,0.61875,0.39583,0.65703,0.44167,0.65469,0.39028,0.64297,0.38056,0.63281,0.39444,0.67188,0.45000,0.67266,0.39861,0.66250,0.39167,0.65391,0.40556,0.68594,0.46944,0.68672,0.42917,0.67891,0.41806,0.67031,0.42639,0.61244,0.70597,0.9998,0.75012,0.85217,0.9332,0.67761,0.56495,0.9972,0.67472,0.55049,0.66641,0.56806,79.40,0.9938,live,0.1731,0.1546,72.80,471.04
168225.828195,80.0,0.5326,3,1,1,0.66328,0.60000,0.64062,0.57778,0.62422,0.53750,0.62344,0.50278,0.62734,0.47639,0.63828,0.48056,0.63438,0.43472,0.62109,0.44028,0.61094,0.45694,0.65234,0.48333,0.65000,0.42639,0.63438,0.43750,0.62500,0.45972,0.66719,0.49583,0.66797,0.44444,0.65312,0.45000,0.64375,0.46528,0.68359,0.51667,0.68594,0.47917,0.67422,0.47778,0.66484,0.48750,0.61442,0.70547,0.9998,0.74885,0.87161,0.9352,0.67713,0.59412,0.9974,0.67244,0.56039,0.66328,0.60000,76.47,0.9954,live,0.1646,0.1263,59.29,469.57
168225.898633,80.0,0.6265,3,1,1,0.66563,0.62778,0.64141,0.60556,0.62422,0.56806,0.62109,0.53750,0.62187,0.50694,0.63516,0.51667,0.63047,0.47500,0.61875,0.48333,0.60938,0.50139,0.65078,0.51944,0.64766,0.46806,0.63438,0.48056,0.62500,0.50278,0.66641,0.53194,0.66719,0.48611,0.65312,0.49444,0.64375,0.50972,0.68281,0.55139,0.68437,0.51944,0.67500,0.52083,0.66563,0.53194,0.61560,0.70598,0.9998,0.74900,0.87253,0.9348,0.67696,0.62435,0.9974,0.67107,0.57387,0.66563,0.62778,73.61,0.9939,live,0.1529,0.0992,46.27,466.22
168225.965637,80.0,0.7158,3,1,1,0.66641,0.64444,0.64219,0.62083,0.62344,0.58611,0.62031,0.55833,0.62344,0.52917,0.63750,0.53750,0.63047,0.49722,0.61875,0.50417,0.60938,0.52083,0.65312,0.54028,0.64922,0.49167,0.63516,0.50278,0.62656,0.52361,0.66875,0.55278,0.66797,0.50556,0.65391,0.51528,0.64375,0.53333,0.68437,0.57500,0.68594,0.54028,0.67578,0.54306,0.66563,0.55417,0.61964,0.70500,0.9998,0.75041,0.88112,0.9351,0.67860,0.64314,0.9974,0.67014,0.58798,0.66641,0.64444,70.79,0.9961,live,0.1406,0.0848,39.11,461.24
168226.030139,80.0,0.8018,3,1,1,0.66641,0.65000,0.64141,0.62917,0.62500,0.59583,0.62109,0.56806,0.62266,0.54167,0.63828,0.54444,0.63203,0.50694,0.61953,0.51389,0.60938,0.53056,0.65391,0.54861,0.65156,0.50000,0.63672,0.51250,0.62734,0.53472,0.66953,0.56111,0.66953,0.51667,0.65547,0.52778,0.64453,0.54444,0.68516,0.58194,0.68750,0.54861,0.67734,0.55278,0.66641,0.56667,0.62268,0.70500,0.9998,0.75390,0.91077,0.9363,0.68314,0.65954,0.9974,0.66939,0.60039,0.66641,0.65000,69.80,0.9968,live,0.1328,0.0970,44.24,456.15
