timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
167516.849875,120.0,0.0000,2,1,1,0.70156,0.67639,0.67266,0.66528,0.65078,0.63750,0.63516,0.61528,0.61875,0.60000,0.66875,0.59583,0.65547,0.57083,0.64531,0.57917,0.63750,0.59722,0.68672,0.59722,0.67734,0.56806,0.66563,0.58611,0.65859,0.61528,0.70469,0.60694,0.70000,0.57639,0.69141,0.59167,0.68516,0.61389,0.72266,0.62361,0.72578,0.59861,0.72422,0.60417,0.72109,0.61944,0.61477,0.69738,0.9999,0.78080,0.90372,0.9656,0.70591,0.69446,0.9971,0.70258,0.65052,0.70156,0.67639,62.54,0.9904,live,0.1207,0.1490,62.17,417.25
167516.914592,120.0,0.1289,2,1,1,0.70625,0.65417,0.67578,0.63750,0.65312,0.60694,0.63828,0.57917,0.62187,0.56111,0.66875,0.56250,0.65625,0.52917,0.64453,0.53472,0.63594,0.55139,0.68594,0.56250,0.67969,0.52361,0.66875,0.53472,0.66250,0.56111,0.70391,0.56944,0.70156,0.53333,0.69219,0.54028,0.68594,0.56250,0.72266,0.58611,0.72813,0.55556,0.72500,0.55694,0.72188,0.56944,0.61474,0.69738,0.9999,0.77482,0.90312,0.9662,0.70485,0.68100,0.9971,0.70331,0.65125,0.70625,0.65417,69.23,0.9813,live,0.1261,0.1503,62.70,417.03
167516.982616,120.0,0.2650,2,1,1,0.71250,0.62361,0.67969,0.59722,0.65781,0.56111,0.64453,0.52778,0.63125,0.50000,0.67344,0.51389,0.66719,0.48056,0.65547,0.47222,0.64375,0.47778,0.68984,0.51250,0.68672,0.47500,0.67656,0.46944,0.66797,0.48333,0.70781,0.52222,0.70703,0.48611,0.70078,0.47917,0.69375,0.48750,0.72656,0.54028,0.73125,0.50833,0.72891,0.50139,0.72344,0.50694,0.61269,0.69299,0.9999,0.76406,0.86926,0.9657,0.70683,0.62160,0.9972,0.70515,0.64572,0.71250,0.62361,77.96,0.9844,live,0.1261,0.1383,58.52,423.11
167517.048997,120.0,0.3978,2,1,1,0.71094,0.59167,0.68047,0.55556,0.66016,0.51389,0.65000,0.47778,0.63828,0.44861,0.67891,0.47083,0.67188,0.43611,0.66172,0.42361,0.65000,0.41806,0.69453,0.46944,0.69141,0.43194,0.68359,0.41944,0.67266,0.41806,0.71172,0.47917,0.71172,0.44306,0.70625,0.42500,0.69688,0.41944,0.72891,0.49861,0.73359,0.46667,0.73125,0.45139,0.72500,0.44306,0.61219,0.69973,0.9999,0.76475,0.86182,0.9662,0.71055,0.58280,0.9974,0.70631,0.63491,0.71094,0.59167,81.13,0.9895,live,0.1261,0.1361,58.63,430.76
167517.119838,120.0,0.5394,2,1,1,0.70859,0.56250,0.67812,0.52778,0.65938,0.48333,0.65078,0.44583,0.64062,0.41528,0.67578,0.43750,0.66953,0.40139,0.66016,0.38472,0.65000,0.37639,0.69297,0.43611,0.69063,0.39444,0.68203,0.37917,0.67188,0.37917,0.71094,0.44444,0.71094,0.40139,0.70547,0.38611,0.69609,0.38472,0.72813,0.46250,0.73359,0.42500,0.72969,0.40972,0.72188,0.40694,0.61075,0.70083,0.9999,0.76451,0.85539,0.9658,0.71088,0.54890,0.9975,0.70676,0.62043,0.70859,0.56250,84.52,0.9881,live,0.1194,0.0892,39.25,439.92
167517.181822,120.0,0.6634,2,1,1,0.70547,0.53889,0.67578,0.51389,0.65703,0.46944,0.64844,0.43056,0.63828,0.40000,0.67422,0.41944,0.66719,0.38056,0.65781,0.36528,0.64766,0.36111,0.69063,0.41667,0.68750,0.37222,0.67812,0.35972,0.66797,0.36528,0.70781,0.42639,0.70781,0.38056,0.70078,0.36667,0.69141,0.37222,0.72500,0.44306,0.73047,0.40417,0.72656,0.39028,0.71797,0.39167,0.60826,0.70307,0.9999,0.76509,0.84140,0.9664,0.71244,0.53613,0.9977,0.70651,0.60412,0.70547,0.53889,81.36,0.9874,live,0.1138,0.0881,39.25,445.71
167517.251687,120.0,0.8031,2,1,1,0.70156,0.54028,0.67422,0.51528,0.65469,0.47222,0.64531,0.43333,0.63516,0.40417,0.66953,0.42361,0.66172,0.38611,0.65312,0.37083,0.64375,0.36944,0.68672,0.41944,0.68281,0.37361,0.67344,0.36250,0.66328,0.37083,0.70391,0.42639,0.70391,0.38056,0.69766,0.36806,0.68828,0.37639,0.72188,0.44444,0.72578,0.40694,0.72188,0.39167,0.71250,0.39306,0.60778,0.70312,0.9999,0.76528,0.83437,0.9665,0.71154,0.53122,0.9978,0.70552,0.59135,0.70156,0.54028,81.23,0.9844,live,0.1138,0.0965,43.51,450.71
167517.315756,120.0,0.9313,2,1,1,0.70000,0.55556,0.67188,0.53333,0.65234,0.49167,0.64219,0.45278,0.63125,0.42361,0.66563,0.44583,0.65781,0.40694,0.64687,0.39306,0.63750,0.39444,0.68281,0.44028,0.67891,0.39444,0.66797,0.38333,0.65781,0.39444,0.70000,0.44861,0.69922,0.40278,0.69141,0.39028,0.68359,0.39861,0.71797,0.46528,0.72266,0.42639,0.71797,0.41111,0.71016,0.41389,0.60702,0.70311,0.9999,0.76525,0.83644,0.9666,0.70812,0.53788,0.9979,0.70441,0.58419,0.70000,0.55556,78.42,0.9824,live,0.1138,0.1072,48.58,453.09
167517.385431,120.0,0.0706,2,2,0,0.69531,0.58056,0.66875,0.56528,0.64687,0.52500,0.63672,0.49028,0.62578,0.45972,0.66328,0.47778,0.65469,0.43611,0.64141,0.43194,0.63125,0.44028,0.67891,0.47639,0.67500,0.42500,0.66094,0.43056,0.65156,0.45278,0.69609,0.48472,0.69531,0.43750,0.68359,0.43611,0.67578,0.45278,0.71484,0.50000,0.71953,0.45972,0.71250,0.45556,0.70469,0.46667,0.60725,0.70081,0.9999,0.76350,0.83769,0.9654,0.70326,0.55181,0.9980,0.70259,0.58347,0.69531,0.58056,73.39,0.9883,live,0.1138,0.1087,49.10,451.56
167517.449934,120.0,0.1996,2,2,0,0.69219,0.61528,0.66484,0.60417,0.64297,0.56944,0.62891,0.54028,0.61484,0.51667,0.65781,0.52361,0.64687,0.48750,0.63438,0.49444,0.62422,0.50972,0.67500,0.52222,0.66641,0.48194,0.65234,0.50139,0.64453,0.52778,0.69219,0.53056,0.68750,0.49167,0.67578,0.50833,0.66875,0.53333,0.71094,0.54722,0.71406,0.51528,0.70781,0.52361,0.70234,0.54167,0.60719,0.69066,0.9999,0.76289,0.84653,0.9658,0.69506,0.61460,0.9981,0.70051,0.58983,0.69219,0.61528,68.62,0.9869,live,0.1138,0.1107,49.46,446.78
167517.518802,120.0,0.3374,2,2,0,0.69219,0.64722,0.66484,0.63611,0.64219,0.60694,0.62656,0.58333,0.61094,0.56528,0.66172,0.55278,0.64375,0.54722,0.63438,0.56806,0.62813,0.59167,0.67969,0.55556,0.66328,0.55417,0.65312,0.58056,0.64844,0.60833,0.69766,0.56944,0.68672,0.56250,0.67656,0.58611,0.67031,0.61111,0.71484,0.59167,0.71406,0.58472,0.70937,0.59722,0.70391,0.61389,0.60811,0.68940,0.9999,0.76729,0.86282,0.9669,0.69565,0.65070,0.9979,0.69885,0.60131,0.69219,0.64722,67.31,0.9948,live,0.1138,0.1041,45.96,441.63
167517.582768,120.0,0.4653,2,2,0,0.69766,0.67639,0.67188,0.66250,0.64922,0.63194,0.63281,0.61111,0.61641,0.59444,0.66875,0.58333,0.65156,0.57639,0.63984,0.59583,0.62969,0.61944,0.68750,0.58750,0.67109,0.58056,0.65938,0.60972,0.65234,0.63889,0.70625,0.60139,0.69453,0.59306,0.68281,0.62083,0.67500,0.64722,0.72266,0.62361,0.71953,0.62222,0.71328,0.64028,0.70937,0.65833,0.61183,0.68961,0.9999,0.77086,0.89811,0.9683,0.69770,0.67659,0.9980,0.69861,0.61632,0.69766,0.67639,66.59,0.9965,live,0.1092,0.0881,38.48,436.58
