timestamp,bpm,beat_phase,meter_beats,beat_in_bar,is_downbeat,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
168403.380448,100.0,0.0000,3,1,1,0.78594,0.71944,0.76406,0.70000,0.75547,0.67222,0.77031,0.67500,0.78672,0.68750,0.79375,0.62361,0.80937,0.61250,0.81484,0.63750,0.81875,0.66806,0.81875,0.63472,0.83984,0.61389,0.84844,0.63889,0.85234,0.67222,0.83594,0.65417,0.85859,0.64167,0.87031,0.66389,0.87578,0.69306,0.84766,0.67917,0.86797,0.67500,0.87813,0.69167,0.88359,0.71250,0.62527,0.71013,0.9999,0.75113,0.91836,0.9456,0.80617,0.73142,0.9950,0.73998,0.70940,0.78594,0.71944,76.92,0.9858,live,0.4891,0.4537,180.13,397.00
168403.449476,100.0,0.1145,3,1,1,0.77969,0.67917,0.75781,0.67083,0.74531,0.64722,0.75156,0.64306,0.76328,0.64722,0.77500,0.59306,0.78516,0.56944,0.79141,0.59444,0.79844,0.62361,0.80000,0.59861,0.81719,0.57083,0.82578,0.59583,0.83203,0.62917,0.81797,0.61389,0.83828,0.59722,0.85000,0.62083,0.85703,0.65139,0.82969,0.63611,0.84922,0.63472,0.85938,0.65278,0.86562,0.67500,0.62315,0.70144,0.9999,0.75468,0.90954,0.9464,0.79729,0.68385,0.9952,0.74792,0.70335,0.77969,0.67917,68.38,0.9826,live,0.4781,0.4279,170.57,398.59
168403.513059,100.0,0.2205,3,1,1,0.75938,0.61806,0.73594,0.60556,0.71797,0.57361,0.71562,0.55139,0.72344,0.55278,0.74531,0.51389,0.75000,0.46806,0.75547,0.48889,0.75938,0.51806,0.76953,0.51528,0.78047,0.46389,0.78750,0.49028,0.79063,0.52361,0.78906,0.52778,0.80391,0.48889,0.81250,0.51667,0.81563,0.54861,0.80391,0.55000,0.81797,0.53472,0.82656,0.55417,0.83047,0.57639,0.62328,0.70239,0.9999,0.78130,0.90016,0.9478,0.78596,0.64986,0.9953,0.75021,0.68629,0.75938,0.61806,76.70,0.9728,live,0.4609,0.3824,155.24,405.99
168403.583001,100.0,0.3370,3,1,1,0.72422,0.51250,0.69922,0.48750,0.68594,0.45000,0.68750,0.42500,0.69844,0.40972,0.71406,0.38889,0.71406,0.35000,0.71172,0.33056,0.70859,0.32222,0.73438,0.38750,0.74062,0.34028,0.73984,0.32222,0.73516,0.31667,0.75156,0.40000,0.76094,0.35972,0.76016,0.34583,0.75234,0.34306,0.76719,0.42222,0.77891,0.39306,0.77812,0.37500,0.77031,0.36667,0.61669,0.69514,0.9999,0.77933,0.83110,0.9499,0.74466,0.52345,0.9957,0.74502,0.65153,0.72422,0.51250,84.53,0.9773,live,0.4322,0.3017,126.15,418.13
168403.646619,100.0,0.4431,3,1,1,0.69141,0.40139,0.66641,0.37222,0.65312,0.32778,0.65625,0.28889,0.66484,0.27361,0.67656,0.27361,0.67422,0.22778,0.66953,0.20556,0.66328,0.18889,0.69453,0.27083,0.69766,0.21944,0.69453,0.19028,0.68828,0.17083,0.71094,0.27917,0.71562,0.22917,0.71094,0.20139,0.70312,0.18472,0.72656,0.29444,0.73281,0.25000,0.72813,0.22500,0.71953,0.21111,0.61217,0.68440,0.9999,0.77444,0.71318,0.9520,0.70370,0.39640,0.9961,0.73429,0.60150,0.69141,0.40139,85.74,0.9813,live,0.4140,0.3309,142.17,429.69
168403.715813,100.0,0.5584,3,1,1,0.67344,0.35000,0.64766,0.30694,0.63281,0.26250,0.63203,0.22222,0.63359,0.18750,0.65156,0.22083,0.64531,0.17639,0.63984,0.14861,0.63438,0.12361,0.66641,0.21389,0.66406,0.16389,0.65938,0.13194,0.65469,0.10278,0.68047,0.21389,0.67891,0.16944,0.67422,0.13472,0.66797,0.10556,0.69609,0.22222,0.69766,0.18056,0.69297,0.15417,0.68594,0.13472,0.60845,0.67982,0.9999,0.75773,0.65837,0.9538,0.67621,0.32027,0.9964,0.72212,0.55120,0.67344,0.35000,87.25,0.8383,live,0.3957,0.3122,137.68,440.95
168403.781927,100.0,0.6686,3,1,1,0.65547,0.30417,0.62813,0.26250,0.61172,0.22222,0.60781,0.18194,0.61016,0.14861,0.63047,0.17778,0.62344,0.14028,0.61641,0.11667,0.60938,0.09306,0.64375,0.16806,0.63906,0.12222,0.63281,0.09444,0.62500,0.07083,0.65703,0.16667,0.65469,0.12222,0.64844,0.09444,0.63984,0.07500,0.67109,0.17361,0.67188,0.13333,0.66641,0.10972,0.65781,0.09167,0.60706,0.67616,0.9999,0.74244,0.61207,0.9543,0.66201,0.28171,0.9966,0.70879,0.50180,0.65547,0.30417,85.95,0.9405,live,0.3957,0.3741,168.30,449.92
168403.848149,100.0,0.7789,3,1,1,0.64141,0.26667,0.61484,0.23750,0.60000,0.20417,0.59609,0.16667,0.59844,0.13750,0.61953,0.16111,0.61250,0.12639,0.60547,0.10694,0.59922,0.08889,0.63281,0.15139,0.62734,0.10833,0.62031,0.08472,0.61172,0.06389,0.64531,0.15000,0.64297,0.10417,0.63672,0.07917,0.62891,0.06111,0.65781,0.15417,0.65938,0.11806,0.65469,0.09444,0.64609,0.07639,0.60706,0.67559,0.9999,0.72567,0.58811,0.9553,0.65322,0.26503,0.9967,0.69531,0.45477,0.64141,0.26667,74.41,0.9591,live,0.4031,0.4368,196.34,449.50
168403.915019,100.0,0.8904,3,1,1,0.63281,0.25556,0.60703,0.23194,0.59297,0.20000,0.59062,0.16528,0.59141,0.13750,0.61484,0.16389,0.60625,0.13056,0.59922,0.10972,0.59219,0.09306,0.62734,0.15278,0.62109,0.11250,0.61328,0.08750,0.60469,0.06944,0.63906,0.15000,0.63516,0.10694,0.62813,0.08333,0.61953,0.06528,0.65234,0.15139,0.65156,0.11389,0.64531,0.09167,0.63672,0.07500,0.60564,0.66990,0.9999,0.71950,0.56943,0.9566,0.64501,0.26261,0.9970,0.68281,0.41493,0.63281,0.25556,68.03,0.9446,live,0.4232,0.5149,228.90,444.54
168403.978700,100.0,0.9965,3,1,1,0.63125,0.26111,0.60547,0.24167,0.59219,0.21250,0.58906,0.17778,0.59141,0.15000,0.61562,0.17639,0.60625,0.14444,0.59922,0.12222,0.59297,0.10278,0.62734,0.16528,0.62187,0.12500,0.61328,0.09861,0.60469,0.07917,0.63906,0.16111,0.63594,0.11944,0.62813,0.09306,0.61875,0.07361,0.65156,0.15972,0.65156,0.12639,0.64453,0.10417,0.63438,0.09028,0.60050,0.66990,0.9998,0.71410,0.58376,0.9553,0.64520,0.27496,0.9971,0.67250,0.38416,0.63125,0.26111,64.60,0.9569,live,0.4516,0.5812,254.42,437.71
